id_localidad,nombre,partido,municipio,cp,latitud,longitud
16489,"11 DE SEPTIEMBRE","TRES DE FEBRERO","TRES DE FEBRERO",1657,-34.5663143,-58.6183601
18312,"12 DE AGOSTO",PELLEGRINI,,2701,,
2493,"12 DE OCTUBRE","9 DE JULIO","9 DE JULIO",6501,-35.6067772,-60.9175339
2676,"16 DE JULIO",AZUL,,7313,-37.2020525,-60.1652139
4409,"17 DE AGOSTO",PUAN,PUAN,8129,-37.9101028,-62.9352493
16497,"20 DE JUNIO","LA MATANZA","LA MATANZA",1761,-34.7795131,-58.7353099
2464,"25 DE MAYO","25 DE MAYO","25 DE MAYO",6660,-35.4330482,-60.1733131
4852,"30 DE AGOSTO","TRENQUE LAUQUEN","TRENQUE LAUQUEN",6405,-36.2742641,-62.5449691
4573,"4 DE NOVIEMBRE",ROJAS,,2707,-34.1497078,-60.7929268
5049,"9 DE ABRIL","ESTEBAN ECHEVERRIA","ESTEBAN ECHEVERRIA",1776,-34.7565076,-58.4902924
2494,"9 DE JULIO","9 DE JULIO","9 DE JULIO",6500,-35.4453163,-60.8866844
3723,ABASTO,"LA PLATA","LA PLATA",1903,-34.9832916,-58.0928040
3527,ABBOTT,MONTE,MONTE,7228,-35.2815514,-58.8032150
4263,ABEL,PEHUAJO,,6450,-35.6179927,-62.0046671
4602,"ABRA DE HINOJO",SAAVEDRA,,8170,-37.7244661,-62.1017350
4695,ACASSUSO,"SAN ISIDRO","SAN ISIDRO",1640,-34.4799000,-58.5040000
4779,ACEILAN,TANDIL,,7003,,
4302,ACEVEDO,PERGAMINO,,2717,-33.7551346,-60.4401436
4137,ACHUPALLAS,ALBERTI,,6627,-35.1071000,-60.0703700
3063,ADELA,CHASCOMUS,CHASCOMUS,7136,-35.6848765,-57.9561556
2711,"ADELA CORTI","BAHIA BLANCA",,8000,-38.6219610,-62.0598960
4410,"ADELA SAENZ",PUAN,,8129,,
2533,"ADOLFO ALSINA","ADOLFO ALSINA",,6430,,
2580,"ADOLFO GONZALES CHAVES","ADOLFO GONZALES CHAVES","ADOLFO GONZALES CHAVES",7513,-38.0279579,-60.1006660
26305,ADROGUE,"ALMIRANTE BROWN","ALMIRANTE BROWN",1846,-34.7989212,-58.3958774
16464,"AEROPUERTO EZEIZA",EZEIZA,EZEIZA,1802,-34.8128216,-58.5521650
4105,AGOTE,MERCEDES,,6608,-34.6450157,-59.3592758
2712,AGUARA,"BAHIA BLANCA",,8105,,
4303,"AGUAS CORRIENTES",PERGAMINO,,2701,,
28050,"AGUAS VERDES","LA COSTA","LA COSTA",7112,-36.6371259,-56.6848594
4519,AGUIRREZABALA,RAMALLO,,2915,,
2465,"AGUSTIN MOSCONI","25 DE MAYO","25 DE MAYO",6667,-35.7392170,-60.5590635
3683,"AGUSTIN ROCA",JUNIN,JUNIN,6001,-34.5056343,-60.8589859
3684,AGUSTINA,JUNIN,JUNIN,6001,-34.4563866,-61.0731926
4264,ALAGON,PEHUAJO,,6463,,
3648,ALAMOS,GUAMINI,,6437,-36.8942337,-62.3563118
3884,ALASTUEY,LUJAN,,6703,-34.4619848,-59.1744878
4265,ALBARIÑO,PEHUAJO,,6405,,
2586,ALBERTI,ALBERTI,ALBERTI,6634,-35.0333585,-60.2792591
4411,"ALDEA SAN ANDRES",PUAN,,8126,,
3749,ALDECON,"GENERAL LA MADRID",,7406,,
16496,"ALDO BONZI","LA MATANZA","LA MATANZA",1770,-34.7124441,-58.5138056
3593,ALEGRE,"GENERAL PAZ",,1987,-35.4519057,-58.2695418
4766,"ALEJANDRO KORN","SAN VICENTE","SAN VICENTE",1864,-35.0135125,-58.3865347
2926,"ALEJANDRO PETION",CAÑUELAS,CAÑUELAS,1808,-34.9789664,-58.6900166
3649,ALFA,GUAMINI,,6437,,
3188,ALFALAD,DAIREAUX,,6555,,
2714,"ALFEREZ SAN MARTIN","BAHIA BLANCA",,8117,-38.6321369,-62.5273682
2495,"ALFREDO DEMARCHI","9 DE JULIO","9 DE JULIO",6533,-35.2929820,-61.4072542
4740,ALGARROBO,"SAN PEDRO",,2935,,
2954,ALGARROBO,"CARLOS CASARES",,6531,,
4937,ALGARROBO,VILLARINO,,8136,,
4304,"ALMACEN CASTRO",PERGAMINO,,2751,,
4520,"ALMACEN EL CRUCE",RAMALLO,,2751,,
2948,"ALMACEN EL DESCANSO","CAPITAN SARMIENTO",,2752,,
2810,"ALMACEN LA COLINA",ARRECIFES,,2740,,
4305,"ALMACEN PIATTI",PERGAMINO,,2711,,
4386,"ALMIRANTE IRIZAR",PILAR,,1629,,
3116,"ALMIRANTE SOLIER","CORONEL ROSALES","CORONEL ROSALES",8109,-38.8835782,-62.0681459
2801,ALSINA,BARADERO,BARADERO,2938,-33.9096038,-59.3882017
4603,"ALTA VISTA",SAAVEDRA,,8170,-37.6497091,-62.7001185
4106,ALTAMIRA,MERCEDES,,6601,,
2889,ALTAMIRANO,BRANDSEN,,1986,-35.3615828,-58.1504868
27816,"ALTO LOS CARDALES",CAMPANA,CAMPANA,2814,-34.3160244,-58.9784575
4981,"ALTO VERDE",ZARATE,,2801,,
4811,ALTONA,TAPALQUE,,7303,-36.4756820,-60.1222218
4617,"ALVAREZ DE TOLEDO",SALADILLO,SALADILLO,7267,-35.6391609,-59.6292383
18483,"ALVAREZ JONTE","PUNTA INDIO",,1921,-35.3227800,-57.4490769
4220,"ALVARO BARROS",OLAVARRIA,,7403,,
2581,ALZAGA,"ADOLFO GONZALES CHAVES",,7021,-37.8544502,-59.9587936
2497,AMALIA,"9 DE JULIO",,6516,-35.4641700,-61.0345500
3009,"AMBROSIO P LEZICA",PATAGONES,,8508,,
4554,AMERICA,RIVADAVIA,RIVADAVIA,6237,-35.4900208,-62.9720230
24840,"AMERICA UNIDA","PRESIDENTE PERON","PRESIDENTE PERON",1862,-34.8861976,-58.4173348
4138,ANASAGASTI,NAVARRO,,6607,-35.0117915,-59.4247779
4266,ANCON,PEHUAJO,,6451,-35.5765180,-61.8416658
3189,ANDANT,DAIREAUX,DAIREAUX,6555,-36.5640580,-62.1324010
18273,ANDERSON,ALBERTI,,6621,-35.2802300,-60.2619000
2588,"ANDRES VACCAREZZA",ALBERTI,,6634,-35.0346900,-60.2773100
4156,"ANEQUE GRANDE",NECOCHEA,,7011,,
3747,"ANGEL ETCHEVERRY","LA PLATA","LA PLATA",1901,-35.0282379,-58.0697774
3861,"ANTONIO CARBONI",LOBOS,LOBOS,7243,-35.2009239,-59.3480606
2678,"ANTONIO DE LOS HEROS",AZUL,,7305,-36.3480888,-59.7927440
3136,APARICIO,"CORONEL DORREGO","CORONEL DORREGO",8158,-38.6229630,-60.8826485
3730,ARANA,"LA PLATA","LA PLATA",1909,-34.9968650,-57.8911743
2534,ARANO,"ADOLFO ALSINA",,6443,-37.0462264,-63.2668210
2466,ARAUJO,"25 DE MAYO",,6643,-35.3083338,-60.3284768
3190,ARBOLEDAS,DAIREAUX,DAIREAUX,6557,-36.8827709,-61.4878179
3908,ARBUCO,MAGDALENA,,1915,,
3811,ARENAZA,LINCOLN,LINCOLN,6075,-34.9855284,-61.7735196
3862,AREVALO,LOBOS,,7243,,
4938,ARGERICH,VILLARINO,VILLARINO,8134,-38.7686561,-62.6025277
2679,ARIEL,AZUL,,7301,-36.5312544,-59.9200652
4604,ARQUEDAS,SAAVEDRA,,8164,,
2811,ARRECIFES,ARRECIFES,ARRECIFES,2740,-34.0645911,-60.1025564
