id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
10614,ACHALCO,"EL ALTO",,4234,-28.3747800,-65.1586500
16815,ACHERAL,"LA PAZ",,5260,,
10440,ACONQUIJA,ANDALGALA,ACONQUIJA,4743,-27.4743799,-66.0266884
10352,ACOSTILLA,ANCASTI,,4701,,
10561,"ADOLFO E CARRANZA",CAPAYAN,CAPAYAN,5263,-29.0263190,-66.0029830
10888,"AGUA AMARILLA LA HOYADA","SANTA MARIA","SAN JOSE",4139,,
10889,"AGUA AMARILLA PTA DE BALASTO","SANTA MARIA",,4139,,
11056,"AGUA COLORADA","VALLE VIEJO",,4724,-28.5606085,-65.7803371
10487,"AGUA COLORADA",BELEN,,4750,,
10488,"AGUA DE DIONISIO",BELEN,,4751,,
10441,"AGUA DE LAS PALOMAS",ANDALGALA,ACONQUIJA,4741,-27.6190596,-66.1151854
16774,"AGUA DEL CAMPO",BELEN,,4750,,
10353,"AGUA DEL SIMBOL",ANCASTI,,5261,,
16816,"AGUA ESCONDIDA","LA PAZ",,5260,,
16877,"AGUA GRANDE",TINOGASTA,,5340,,
10354,"AGUA LOS MATOS",ANCASTI,,5265,,
16762,"AGUA SALADA",ANDALGALA,,4740,,
16604,"AGUA VERDE",AMBATO,,4715,,
10442,"AGUA VERDE",ANDALGALA,,4740,-27.5005951,-66.3227844
16878,AGUADA,TINOGASTA,,5340,,
16765,AGUADITA,"ANTOFAGASTA DE LA SIERRA",,4705,,
10489,"AGUAS CALIENTES",BELEN,,4751,,
10615,ALBIGASTA,"EL ALTO",,4231,-28.5837238,-65.2221934
10684,ALBIGASTA,"LA PAZ",,4235,,
16763,ALGARROBAL,ANDALGALA,,4740,,
10934,ALIJILAN,"SANTA ROSA","LOS ALTOS",4723,-28.1771813,-65.4915924
10935,ALMIGAUCHO,"SANTA ROSA",,4723,,
10936,"ALTA GRACIA","SANTA ROSA",,4723,-28.0450319,-65.2784562
10685,"ALTO BELLO","LA PAZ",,5261,,
10443,"ALTO DE LA JUNTA",ANDALGALA,,4743,,
10355,"ALTO DEL ROSARIO",ANCASTI,,5261,,
10490,"ALTO EL BOLSON",BELEN,,4751,-26.9442600,-66.7348700
10816,AMADORES,PACLIN,,4716,-28.2680364,-65.6462108
10356,AMANA,ANCASTI,,4701,-28.9269353,-65.5207723
10937,AMANCALA,"SANTA ROSA",,4723,,
10305,AMBATO,AMBATO,,4711,,
10890,AMPAJANGO,"SANTA MARIA",,4139,-26.9089104,-66.0850482
10938,AMPOLLA,"SANTA ROSA",,4723,-28.1677545,-65.3153244
10491,AMPUJACO,BELEN,,4750,-27.4420584,-66.7355952
10357,ANCASTI,ANCASTI,ANCASTI,4701,-28.8098298,-65.5021020
10686,ANCASTILLO,"LA PAZ",,4231,-28.7180519,-65.2964859
16879,ANCHOCA,TINOGASTA,,5340,,
10446,ANDALGALA,ANDALGALA,,4740,-27.5809994,-66.3176880
10445,ANDALGALA,ANDALGALA,ANDALGALA,4741,-27.5275896,-66.5156762
10891,ANDALHUALA,"SANTA MARIA","SAN JOSE",4139,-26.8479427,-66.0244069
10981,ANDALUCIA,TINOGASTA,,5331,,
10687,ANGELINA,"LA PAZ",,5264,,
16775,ANGOSTURA,BELEN,,4750,,
10982,ANILLACO,TINOGASTA,,5341,-27.9001528,-67.6142839
10688,ANJULI,"LA PAZ",ICAÑO,4231,-28.6742674,-65.2794556
10358,ANQUINCILA,ANCASTI,,4701,-28.7545936,-65.5495103
11057,ANTAPOCA,"VALLE VIEJO",,4705,-28.5138482,-65.7619934
27617,ANTINACO,TINOGASTA,,5341,-27.2314456,-67.6080549
10486,"ANTOFAGASTA DE LA SIERRA","ANTOFAGASTA DE LA SIERRA","ANTOFAGASTA DE LA SIERRA",4705,-26.0593726,-67.4052776
16880,APOCANGO,TINOGASTA,,5340,,
10861,APOYACO,POMAN,,5317,-28.3006338,-66.1659792
16764,ARIMA,ANDALGALA,,4740,,
10492,ASAMPAY,BELEN,,4751,-27.3461111,-67.0582680
10447,"ASERRADERO EL PILCIO",ANDALGALA,,4740,,
10616,AYAPASO,"EL ALTO",,4234,-28.3343900,-65.2066000
10817,BALCOSNA,PACLIN,,4719,-27.8878059,-65.7252579
10818,"BALCOSNA DE AFUERA",PACLIN,,4719,-27.8710060,-65.7639694
16840,BALDE,"LA PAZ",,5260,,
10562,"BALDE LA PUNTA",CAPAYAN,CAPAYAN,5263,,
10563,"BALDE NUEVO",CAPAYAN,,5263,,
16766,BALSA,"ANTOFAGASTA DE LA SIERRA",,4705,,
16881,BALUNGASTA,TINOGASTA,,5340,,
10689,"BAÑADO DE DIVISADERO","LA PAZ",,5261,,
10939,"BAÑADO DE OVANTA","SANTA ROSA","SANTA ROSA",4723,-28.1056156,-65.3187256
10892,BANDA,"SANTA MARIA",,4139,,
10983,"BANDA DE LUCERO",TINOGASTA,,5333,-28.0687851,-67.5077024
10597,"BANDA VARELA",CAPITAL,,4700,,
10984,"BAÑOS TERMALES",TINOGASTA,,5345,,
10493,"BARRANCA LARGA",BELEN,"VILLA VIL",4751,-26.9366726,-66.7473737
10617,BARRANQUITAS,"EL ALTO",,4235,,
16850,"BARRO NEGRO",PACLIN,,4718,-27.8547325,-65.7172699
16851,BASTIDOR,PACLIN,,4718,,
10690,BAVIANO,"LA PAZ",,5265,-28.7889761,-65.2996582
10618,BEBIDA,"EL ALTO",,4235,,
10494,BELEN,BELEN,BELEN,4750,-27.6538143,-67.0249786
10619,"BELLA VISTA","EL ALTO",,4235,-28.6248600,-65.4914200
27620,"BELLA VISTA",AMBATO,,4715,,
16605,BISCOTAL,AMBATO,,4715,,
10359,BREA,ANCASTI,,5265,,
10620,"BREA CHIMPANA","EL ALTO",,4230,,
16817,"BUEN RETIRO","LA PAZ",,5260,,
10448,"BUENA VISTA",ANDALGALA,,4743,-27.3391922,-66.0241892
10564,"BUENA VISTA",CAPAYAN,,5263,,
16855,"BUEY MUERTO","SANTA MARIA",,4139,,
16841,"BUEY MUERTO","LA PAZ",,5260,,
10691,CABALLA,"LA PAZ",,5261,-29.0006100,-65.3504700
10360,CABRERA,ANCASTI,,4701,,
10940,CACHI,"SANTA ROSA",,4723,,
10495,CACHIJAN,BELEN,,4751,,
16800,CACHUAN,BELEN,,4750,,
10361,CALACIO,ANCASTI,,4701,,
10362,CALERA,ANCASTI,,4701,,
10862,"CALERA LA NORMA",POMAN,,5315,,
10893,CAMPITOS,"SANTA MARIA",,4139,,
16818,"CAMPO BELLO","LA PAZ",,5260,,
16819,"CAMPO BLANCO","LA PAZ",,5260,,
10692,CAÑADA,"LA PAZ",,5264,,
10363,"CAÑADA DE IPIZCA",ANCASTI,,4701,,
10364,"CAÑADA DE PAEZ",ANCASTI,,4701,-28.6952076,-65.4913406
10365,"CAÑADA LARGA",ANCASTI,,5265,,
27875,CANDELARIA,"LA PAZ",,4231,,
10366,CANDELARIA,ANCASTI,,4701,,
16882,"CANTERA ROTA",TINOGASTA,,5340,,
10565,CAPAYAN,CAPAYAN,CAPAYAN,4726,-28.7807106,-66.0386455
10449,CARAPUNCO,ANDALGALA,,4741,,
16871,CARIDAD,"SANTA ROSA",,4723,,
10496,CARRIZAL,BELEN,,4751,,
10985,CARRIZAL,TINOGASTA,,5333,,
10497,"CARRIZAL DE ABAJO",BELEN,,4751,,
10498,"CARRIZAL DE LA COSTA",BELEN,,4751,,
10367,"CASA ARMADA",ANCASTI,,4701,-28.6666165,-65.5198396
16883,"CASA DE ALTO",TINOGASTA,,5340,-27.2292557,-67.6428146
10368,"CASA DE LA CUMBRE",ANCASTI,,5261,,
10895,"CASA DE PIEDRA","SANTA MARIA","SAN JOSE",4139,-26.8274550,-66.0506275
10450,"CASA DE PIEDRA",ANDALGALA,,4741,,
16776,"CASA GRANDE",BELEN,,4750,,
16884,"CASA GRANDE",TINOGASTA,,5340,,
10369,"CASA VIEJA",ANCASTI,,4701,,
10307,"CASA VIEJAS",AMBATO,,4711,,
10894,CASPINCHANGO,"SANTA MARIA",,4139,,
16885,CASTAÑAR,TINOGASTA,,5340,,
16820,CATITA,"LA PAZ",,5260,,
16886,CERDAS,TINOGASTA,,5340,,
10694,CERRILLADA,"LA PAZ",,5264,,
10566,CERRILLOS,CAPAYAN,,4139,,
10896,CERRILLOS,"SANTA MARIA",,4139,-26.6673946,-66.0649338
16856,"CERRO COLORADO","SANTA MARIA",,4139,,
16842,"CERRO COLORADO","LA PAZ",,5260,,
10986,"CERRO NEGRO",TINOGASTA,,5331,-28.2432405,-67.1442732
10819,CERVIÑO,PACLIN,,4716,,
10599,CHACABUCO,CAPITAL,,4700,,
10370,CHACRITAS,ANCASTI,,5265,,
10897,CHAFIÑAN,"SANTA MARIA",,4139,,
10308,CHAMORRO,AMBATO,,4715,,
10621,"CHAÑAR LAGUNA","EL ALTO",,4234,-28.5079937,-65.1467133
10898,"CHAÑAR PUNCO","SANTA MARIA",,4139,-26.7588343,-66.0493067
16931,CHAÑARCITO,"VALLE VIEJO",,4707,,
10695,CHAÑARITOS,"LA PAZ",,5264,,
10451,CHAÑARYACO,ANDALGALA,,4751,,
16887,CHANERO,TINOGASTA,,5340,,
10452,CHAQUIAGO,ANDALGALA,ANDALGALA,4741,-27.5453606,-66.3262177
10309,CHAVARRIA,AMBATO,,4715,,
16888,CHAVERO,TINOGASTA,,5340,,
10696,CHICHAGASTA,"LA PAZ",,5266,,
16852,CHIFLON,PACLIN,,4718,,
10453,CHILCA,ANDALGALA,,4740,,
16777,CHIQUERITO,BELEN,,4750,,
10454,CHOYA,ANDALGALA,ANDALGALA,4741,-27.5210749,-66.4034743
10310,CHUCHUCARUANA,AMBATO,"LOS VARELA",4711,-27.9072844,-65.8265242
16778,CHUCOLAY,BELEN,,4750,,
10568,CHUMBICHA,CAPAYAN,CAPAYAN,4728,-28.8557854,-66.2354050
16857,CIENAGA,"SANTA MARIA",,4139,,
16862,CIENAGA,"LA PAZ",,5260,,
10987,CIENAGUITA,TINOGASTA,,5333,,
10672,COLLAGASTA,"FRAY MAMERTO ESQUIU","FRAY MAMERTO ESQUIU",4711,-28.3616776,-65.7282690
10569,"COLONIA DEL VALLE",CAPAYAN,HUILLAPIMA,4726,-28.6569710,-65.8182373
10570,"COLONIA NUEVA CONETA",CAPAYAN,HUILLAPIMA,4724,-28.5859219,-65.8384330
10311,COLPES,AMBATO,"LA PUERTA",4711,-28.0564725,-65.8260844
10863,COLPES,POMAN,,5319,-28.0606504,-66.2065039
10371,CONCEPCION,ANCASTI,,4701,-28.6675358,-65.3667679
10571,CONCEPCION,CAPAYAN,CAPAYAN,4726,-28.7027878,-66.0684404
10455,"CONDOR HUASI",ANDALGALA,,4711,-27.5968703,-65.9793695
10499,"CONDOR HUASI DE BELEN",BELEN,"POZO DE PIEDRA",4751,,
10572,CONETA,CAPAYAN,HUILLAPIMA,4724,-28.5824940,-65.8832900
10988,COPACABANA,TINOGASTA,TINOGASTA,5333,-28.1714134,-67.4831161
10989,CORDOBITA,TINOGASTA,,5331,-28.2979799,-67.1670904
10372,"CORRAL DE PIEDRA",ANCASTI,,4701,,
10990,"CORRAL DE PIEDRA",TINOGASTA,,5341,-27.3610134,-67.3283768
10500,"CORRAL QUEMADO",BELEN,"CORRAL QUEMADO",4751,-27.1458266,-66.9418772
16939,"CORRAL VIEJO","SANTA MARIA",,4139,,
10373,"CORRAL VIEJO",ANCASTI,,4701,,
16606,CORRALITA,AMBATO,,4715,,
10501,CORRALITO,BELEN,,4753,,
10374,CORRALITO,ANCASTI,,5265,,
10697,CORRALITOS,"LA PAZ",,4230,,
16779,CORTADERA,BELEN,,4750,,
16938,CORTADERA,TINOGASTA,,5340,,
10941,CORTADERAS,"SANTA ROSA",,4237,-28.2765015,-65.1707835
10698,CORTADERAS,"LA PAZ",,5261,,
10991,"COSTA DE REYES",TINOGASTA,,5341,-28.2949599,-67.7029025
10502,COTAGUA,BELEN,,4751,,
16780,"CUEVA BLANCA",BELEN,,4750,,
10503,CULAMPAJA,BELEN,,4751,-26.9996324,-66.9659996
16767,"CUMBRE DEL LAUDO","ANTOFAGASTA DE LA SIERRA",,4705,,
16863,DESRUMBE,"SANTA MARIA",,4139,,
10456,"DISTRITO ESPINILLO",ANDALGALA,,4740,,
10699,DIVISADERO,"LA PAZ",,5260,,
10942,"DOS POCITOS","SANTA ROSA",,4723,-28.0713200,-65.2650800
10943,"DOS TRONCOS","SANTA ROSA",,4723,,
16805,DURAZNILLO,BELEN,,4750,,
10504,DURAZNO,BELEN,,4753,,
10700,"EL ABRA","LA PAZ",,5261,,
10457,"EL ALAMITO",ANDALGALA,ACONQUIJA,4743,-27.3335379,-66.0229852
10622,"EL ALTO","EL ALTO","EL ALTO",4235,-28.3115749,-65.3619003
10992,"EL ALTO",TINOGASTA,,5333,,
10312,"EL ARBOL SOLO",AMBATO,,4711,,
10375,"EL ARBOLITO",ANCASTI,,4701,,
10458,"EL ARBOLITO",ANDALGALA,,4743,,
10376,"EL ARENAL",ANCASTI,,5261,,
10899,"EL ARROYO","SANTA MARIA",,4139,,
10313,"EL ATOYAL",AMBATO,,4715,,
10701,"EL AYBAL","LA PAZ",RECREO,5261,-29.1066140,-65.3396952
10900,"EL BALDE","SANTA MARIA",,4139,,
11058,"EL BAÑADO","VALLE VIEJO","VALLE VIEJO",4707,-28.4661355,-65.6951982
10573,"EL BAÑADO",CAPAYAN,,4724,-28.6492910,-65.8184084
10702,"EL BAÑADO","LA PAZ",,5261,-29.1832354,-65.4161459
10377,"EL BARREAL",ANCASTI,,4701,,
10703,"EL BARREAL","LA PAZ",,5260,-29.3313122,-65.1704865
10704,"EL BARRIAL","LA PAZ",,5261,,
10705,"EL BARRIALITO","LA PAZ",,4231,,
10993,"EL BARRIALITO",TINOGASTA,,5345,,
10820,"EL BASTIDOR",PACLIN,,4718,-28.1965981,-65.6629944
10706,"EL BELLO","LA PAZ",,5260,,
10314,"EL BISCOTE",AMBATO,,4715,,
10315,"EL BOLSON",AMBATO,"LOS VARELA",4711,-27.9038743,-65.8884829
10994,"EL CACHIYUYO",TINOGASTA,TINOGASTA,5341,,
10707,"EL CACHO","LA PAZ",,5261,,
10901,"EL CAJON","SANTA MARIA","SANTA MARIA",4139,-26.3955477,-66.2641930
10505,"EL CAJON",BELEN,,4751,-27.0536701,-66.9038921
10902,"EL CALCHAQUI","SANTA MARIA",,4139,,
10506,"EL CAMPILLO",BELEN,,4751,,
10944,"EL CARMEN","SANTA ROSA",,4723,,
10574,"EL CARRIZAL",CAPAYAN,,4726,-28.6708813,-66.1226578
10459,"EL CARRIZAL",ANDALGALA,,4741,,
10507,"EL CARRIZAL",BELEN,,4751,-27.3333912,-67.0258255
10708,"EL CENTENARIO","LA PAZ",,4231,,
10378,"EL CERCADO",ANCASTI,,4701,,
10709,"EL CERCADO","LA PAZ",,5260,-29.3225765,-65.4954529
10903,"EL CERRITO","SANTA MARIA",,4139,-26.6988605,-66.0387334
10710,"EL CERRITO","LA PAZ",,5261,-29.4128437,-65.4054425
10821,"EL CEVIL",PACLIN,,4716,,
10379,"EL CEVILARCITO",ANCASTI,,4701,,
10822,"EL CHAMICO",PACLIN,,4719,,
10380,"EL CHAÑARAL",ANCASTI,,4701,,
10711,"EL CHAÑARAL","LA PAZ",,5261,,
10381,"EL CHORRO",ANCASTI,,4701,,
10316,"EL CHORRO",AMBATO,,4711,,
10712,"EL CIENAGO","LA PAZ",,5261,,
10823,"EL CIFLON",PACLIN,,4719,,
10460,"EL COLEGIO",ANDALGALA,,4740,-27.5587025,-66.3234558
10824,"EL CONTADOR",PACLIN,,4719,,
10904,"EL DESMONTE","SANTA MARIA","SAN JOSE",4139,-26.9077169,-66.0204232
10673,"EL DESMONTE","FRAY MAMERTO ESQUIU",,4707,,
10945,"EL DESMONTE","SANTA ROSA",,4723,,
10825,"EL DURAZNILLO",PACLIN,,4722,,
10508,"EL DURAZNO",BELEN,,4751,-27.2352161,-67.0644302
10509,"EL EJE",BELEN,"SAN FERNANDO",4751,-27.2784290,-66.8755646
10461,"EL ESPINILLO",ANDALGALA,,4743,-27.5677228,-66.1472315
10713,"EL GACHO","LA PAZ",,5261,,
10826,"EL GARABATO",PACLIN,,4716,,
11059,"EL HUECO","FRAY MAMERTO ESQUIU","FRAY MAMERTO ESQUIU",4707,-28.4127885,-65.7175370
10462,"EL LINDERO",ANDALGALA,ACONQUIJA,4740,-27.4743799,-66.0266884
10714,"EL LINDERO","LA PAZ",,5260,,
10905,"EL MEDANITO","SANTA MARIA",,4139,,
10510,"EL MEDIO",BELEN,,4750,,
10575,"EL MILAGRO",CAPAYAN,,4726,-28.8474037,-65.9053937
10715,"EL MILAGRO","LA PAZ",,5261,-29.3562527,-65.3410568
10716,"EL MISTOLITO","LA PAZ",,5261,-29.3420563,-65.5001602
10382,"EL MOJON",ANCASTI,,4701,-28.6264206,-65.3482583
16754,"EL MOLINITO",AMBATO,,4715,,
10511,"EL MOLINO",BELEN,,4750,,
10383,"EL MOLLAR",ANCASTI,,4701,,
10463,"EL MOLLE",ANDALGALA,,4740,,
10717,"EL MORENO","LA PAZ",,5261,-29.2549800,-65.3993723
10317,"EL NOGAL",AMBATO,,4711,,
10864,"EL PAJONAL",POMAN,,5315,-28.3773148,-66.3017093
10318,"EL PARQUE",AMBATO,,4711,,
10995,"EL PEÑON","ANTOFAGASTA DE LA SIERRA",,5345,-26.4377795,-67.2590954
10319,"EL PIE DE LA CUESTA",AMBATO,,4711,,
10320,"EL POLEAR",AMBATO,,4711,,
10718,"EL POLEAR","LA PAZ",,5261,,
10512,"EL PORTEZUELO",BELEN,,4750,,
10719,"EL PORTEZUELO","LA PAZ",,5261,,
10321,"EL POTRERILLO",AMBATO,,4711,,
10946,"EL POTRERO","SANTA ROSA",,4723,,
10481,"EL POTRERO",ANDALGALA,,4743,-27.5162322,-66.3434281
10720,"EL POTRERO","LA PAZ",,5261,,
