id_localidad,nombre,partido,municipio,cp,latitud,longitud
11293,"10 DE MAYO","LIBERTADOR GENERAL SAN MARTIN",,3705,,
17358,"2 DE MAYO","9 DE JULIO",,3722,-27.0170187,-61.1874281
17501,"9 DE JULIO","ALMIRANTE BROWN",,3714,-25.5344563,-62.8526611
11133,"AGUA BUENA","ALMIRANTE BROWN",,3714,,
19128,"ALDEA FORESTAL",QUITILIPI,,3530,,
11312,ALELOY,MAIPU,,3703,,
19045,"ALMIRANTE BROWN","O HIGGINS",,3701,,
11219,AMAMBAY,"GENERAL BELGRANO",,3718,,
11419,"ARBOL SOLO",TAPENAGA,"COTE LAI",3513,-27.7784958,-59.6045647
11080,"ARROYO QUINTANA","1 DE MAYO",,3505,,
11324,AVANZADA,"MAYOR LUIS J FONTANA",,3540,,
11258,"AVIA TERAI",INDEPENDENCIA,"AVIA TERAI",3706,-26.6858349,-60.7295265
18432,"BAJO HONDO","GENERAL GUEMES",,3705,-25.1221007,-61.2000234
18487,"BAJO VERDE","GENERAL GUEMES",,3705,-24.3160837,-61.8723729
11369,BARRANQUERAS,"SAN FERNANDO",BARRANQUERAS,3503,-27.5000076,-58.9655800
11374,BASAIL,"SAN FERNANDO",BASAIL,3516,-27.8868660,-59.2791000
18488,BERLIN,"GENERAL GUEMES",,3705,-25.6460705,-60.3410301
19080,BOCAS,"PRESIDENCIA DE LA PLAZA",,3536,,
18489,"BOLSA GRANDE","GENERAL GUEMES",,3705,-24.2024937,-62.1842384
11134,BOTIJA,"ALMIRANTE BROWN",,3714,,
18907,"CABAÑARO PASAJE",MAIPU,,3703,,
11212,"CABEZA DE TIGRE","FRAY JUSTO SANTA MARIA DE ORO",,3540,-27.9419041,-61.1410179
17930,CABRAL,CHACABUCO,,3730,,
11145,"CABRAL CUE",BERMEJO,,3518,-26.9217504,-58.7787460
11375,CACUI,"SAN FERNANDO",,3514,,
18490,CALIFORNIA,"GENERAL GUEMES",,3705,-24.3954353,-62.3238335
11376,"CAMPO DE GALNASI","SAN FERNANDO",,3501,,
11295,"CAMPO DE LA CHOZA",LIBERTAD,,3514,,
11296,"CAMPO ECHEGARAY",LIBERTAD,,3514,,
18491,"CAMPO EL AIBAL","GENERAL GUEMES",,3705,-25.6891727,-60.4925728
11273,"CAMPO EL BERMEJO","LIBERTADOR GENERAL SAN MARTIN",,3509,,
11215,"CAMPO EL JACARANDA","2 DE ABRIL",,3733,,
18492,"CAMPO EL ONZA","GENERAL GUEMES",,3705,-25.7291546,-60.3368492
11360,"CAMPO FELDMAN",QUITILIPI,,3530,-26.9587820,-60.3165101
17940,"CAMPO FERRANDO",CHACABUCO,,3730,,
18493,"CAMPO GRANDE","GENERAL GUEMES",,3705,-24.6569843,-62.0595402
11259,"CAMPO LARGO",INDEPENDENCIA,"CAMPO LARGO",3716,-26.8029766,-60.8404694
18173,"CAMPO LAS PUERTAS","FRAY JUSTO SANTA MARIA DE ORO",,3541,-27.8674987,-61.3254030
17063,"CAMPO MORENO","12 DE OCTUBRE",,3734,,
18175,"CAMPO NUEVO","FRAY JUSTO SANTA MARIA DE ORO",,3541,,
18494,"CAMPO OVEROS","GENERAL GUEMES",,3705,,
11274,"CAMPO WINTER","LIBERTADOR GENERAL SAN MARTIN","GENERAL SAN MARTIN",3509,-26.4124804,-59.3254700
11116,"CAMPO ZAPA","9 DE JULIO",,3722,,
11146,"CANCHA LARGA",BERMEJO,,3518,-27.0770810,-58.7304537
11409,"CAPITAN SOLARI","SARGENTO CABRAL","CAPITAN SOLARI",3515,-26.8050730,-59.5596520
17504,CASTELLIN,"ALMIRANTE BROWN",,3714,,
11185,CERRITO,CHACABUCO,,3730,,
11420,CHARADAI,TAPENAGA,CHARADAI,3513,-27.6553300,-59.8624460
11192,CHARATA,CHACABUCO,CHARATA,3730,-27.2144527,-61.1870193
11216,CHOROTIS,"FRAY JUSTO SANTA MARIA DE ORO",CHOROTIS,3733,-27.9110203,-61.3923225
11275,"CIERVO PETISO","LIBERTADOR GENERAL SAN MARTIN","CIERVO PETISO",3515,-26.5815850,-59.6329800
11260,"CNIA AGRICOLA PAMPA NAPENAY",INDEPENDENCIA,,3706,,
17065,"COLONIA ABATE","12 DE OCTUBRE",,3732,,
11102,"COLONIA ABORIGEN","25 DE MAYO","COLONIA ABORIGEN",3531,-26.9583436,-60.1902370
18908,"COLONIA ALELAY",MAIPU,,3703,,
11201,"COLONIA BAJO HONDO","COMANDANTE FERNANDEZ","PRESIDENCIA ROQUE SAENZ PEÑA",3700,-26.9428248,-60.3787543
11377,"COLONIA BARANDA","SAN FERNANDO",,3505,-27.5620449,-59.3096912
17954,"COLONIA BARRERA",CHACABUCO,,3730,,
11076,"COLONIA BENITEZ","1 DE MAYO","COLONIA BENITEZ",3505,-27.3318666,-58.9589939
18814,"COLONIA BERMEJO","LIBERTADOR GENERAL SAN MARTIN",,3509,,
11198,"COLONIA BERNARDINO RIVADAVIA","COMANDANTE FERNANDEZ",,3701,,
11103,"COLONIA BLAS PARERA","25 DE MAYO",,3531,-27.0827272,-60.2567869
17066,"COLONIA BRAVO","12 DE OCTUBRE",,3732,-27.3592374,-61.1873236
18496,"COLONIA CABEZA DE BUEY","GENERAL GUEMES",,3705,-25.6393681,-60.4825020
17415,"COLONIA CABRAL",BERMEJO,,3518,,
27877,"COLONIA CAMPO ROSSI","1 DE MAYO",,3505,,
18860,"COLONIA CODUTTI",LIBERTAD,,3513,,
11346,"COLONIA CORONEL BRANDSEN","PRESIDENCIA DE LA PLAZA",,3536,,
11276,"COLONIA CORONEL DORREGO","LIBERTADOR GENERAL SAN MARTIN",,3511,,
11117,"COLONIA CUERO QUEMADO","9 DE JULIO",,3722,,
17067,"COLONIA DRYDALE","12 DE OCTUBRE",,3734,,
11297,"COLONIA ECHEGARAY",LIBERTAD,,3514,,
17068,"COLONIA ECONOMIA","12 DE OCTUBRE",,3732,,
11112,"COLONIA EL AGUARA","25 DE MAYO",,3534,,
18497,"COLONIA EL ALAZAN","GENERAL GUEMES",,3705,-25.7573509,-60.3205452
18816,"COLONIA EL CIERVO","LIBERTADOR GENERAL SAN MARTIN",,3509,-25.8511086,-60.0263519
18177,"COLONIA EL CURUPI","FRAY JUSTO SANTA MARIA DE ORO",,3541,-27.8172054,-61.0247955
18817,"COLONIA EL FISCAL","LIBERTADOR GENERAL SAN MARTIN",,3509,,
19130,"COLONIA EL PARAISAL",QUITILIPI,,3530,-26.4991499,-60.0671968
11077,"COLONIA EL PILAR","1 DE MAYO",,3505,,
11325,"COLONIA EL TIGRE","MAYOR LUIS J FONTANA",,3541,,
27863,"COLONIA EL TIZON","2 DE ABRIL",,3733,,
17069,"COLONIA EL TRIANGULO","12 DE OCTUBRE",,3732,,
11410,"COLONIA ELISA","SARGENTO CABRAL","COLONIA ELISA",3515,-26.9307861,-59.5204659
18818,"COLONIA ESPERANZA","LIBERTADOR GENERAL SAN MARTIN",,3509,-26.5226536,-59.1993523
18498,"COLONIA ESPERANZA","GENERAL GUEMES",,3705,,
19235,"COLONIA FLORENCIA","SAN FERNANDO",,3500,,
18499,"COLONIA FORTUNI","GENERAL GUEMES",,3705,-25.8963757,-60.6093521
11118,"COLONIA GENERAL NECOCHEA",CHACABUCO,,3722,-27.3822613,-61.0146438
27770,"COLONIA GENERAL PAZ",QUITILIPI,QUITILIPI,3530,-26.7063105,-60.1447603
17314,"COLONIA GUALTIERI","25 DE MAYO",,3534,-26.5568836,-59.9374919
11089,"COLONIA HAMBURGUESA","12 DE OCTUBRE",,3732,,
11348,"COLONIA HERRERA","PRESIDENCIA DE LA PLAZA",,3536,,
11349,"COLONIA HIPOLITO VIEYTES","PRESIDENCIA DE LA PLAZA",,3536,-26.9544202,-59.8961633
18500,"COLONIA INDIGENA","GENERAL GUEMES",,3705,,
11261,"COLONIA JOSE MARMOL",INDEPENDENCIA,,3700,-26.9847794,-60.6440697
18501,"COLONIA JUAN JOSE CASTELLI","GENERAL GUEMES",,3705,-25.9463910,-60.6214750
11326,"COLONIA JUAN JOSE PASO","MAYOR LUIS J FONTANA",,3540,-27.4900746,-60.8759403
11186,"COLONIA JUAN LARREA",CHACABUCO,,3730,,
11119,"COLONIA JUAN LAVALLE","GENERAL BELGRANO",,3722,-27.1058550,-60.8575067
11221,"COLONIA JUAN PENCO","GENERAL DONOVAN",,3514,,
18985,"COLONIA LA AVANZADA","MAYOR LUIS J FONTANA",,3540,-27.7862374,-60.8911309
18819,"COLONIA LA FILOMENA","LIBERTADOR GENERAL SAN MARTIN",,3509,,
18502,"COLONIA LA FLORIDA CHICA","GENERAL GUEMES",,3705,,
18503,"COLONIA LA FLORIDA GRANDE","GENERAL GUEMES",,3705,-25.8269201,-60.8371604
11113,"COLONIA LA LOLA","25 DE MAYO",,3534,-26.7030212,-60.0680802
17070,"COLONIA LA MARIA LUISA","12 DE OCTUBRE",,3734,,
17071,"COLONIA LA TOTA","12 DE OCTUBRE",,3734,,
18988,"COLONIA LAS AVISPAS","MAYOR LUIS J FONTANA",,3540,-27.9351482,-60.6255379
27771,"COLONIA LEANDRO N ALEM","25 DE MAYO",,3534,,
19001,"COLONIA LOS GANZOS","MAYOR LUIS J FONTANA",,3540,,
18977,"COLONIA LOTE 10","MAYOR LUIS J FONTANA",,3540,,
18979,"COLONIA LOTE 12","MAYOR LUIS J FONTANA",,3543,,
18981,"COLONIA LOTE 3","MAYOR LUIS J FONTANA",,3543,,
18863,"COLONIA LUCINDA",LIBERTAD,,3513,,
11262,"COLONIA MALGRATTI",INDEPENDENCIA,,3716,,
11263,"COLONIA MARIANO SARRATEA",INDEPENDENCIA,,3706,-26.5242369,-60.5719353
11327,"COLONIA MATHEU","O HIGGINS",,3540,,
11222,"COLONIA MIXTA","GENERAL DONOVAN",,3514,,
18504,"COLONIA MONTE QUEMADO","GENERAL GUEMES",,3705,-25.9336147,-60.7590866
17077,"COLONIA NECOCHEA SUD","12 DE OCTUBRE",,3732,,
19236,"COLONIA PALMIRA","SAN FERNANDO",,3500,-27.9256153,-59.3179817
11298,"COLONIA POPULAR",LIBERTAD,"COLONIA POPULAR",3505,-27.2759310,-59.1523780
27653,"COLONIA PUEBLO VIEJO","LIBERTADOR GENERAL SAN MARTIN",,3531,,
11378,"COLONIA PUENTE PHILIPON","SAN FERNANDO",,3514,,
11361,"COLONIA PUENTE URIBURU",QUITILIPI,,3530,,
27659,"COLONIA QUEBRACHALES","2 DE ABRIL",,3733,,
11147,"COLONIA RIO DE ORO",BERMEJO,,3518,,
11277,"COLONIA RODRIGUEZ PEÑA","LIBERTADOR GENERAL SAN MARTIN",,3511,,
18820,"COLONIA SABINA","LIBERTADOR GENERAL SAN MARTIN",,3509,,
18821,"COLONIA SAN ANTONIO","LIBERTADOR GENERAL SAN MARTIN",,3509,,
18505,"COLONIA SAN ANTONIO","GENERAL GUEMES",,3705,-25.6419563,-60.8467216
11350,"COLONIA SANTA ELENA","PRESIDENCIA DE LA PLAZA","PRESIDENCIA DE LA PLAZA",3536,-26.9222571,-59.7752036
17971,"COLONIA SCHMIDT",CHACABUCO,,3730,,
11278,"COLONIA SIETE ARBOLES","LIBERTADOR GENERAL SAN MARTIN",,3509,,
11379,"COLONIA TACUARI","SAN FERNANDO",,3516,-27.8810423,-59.1253534
27658,"COLONIA TAÑIGO","2 DE ABRIL",,3733,,
18822,"COLONIA TRES LAGUNAS","LIBERTADOR GENERAL SAN MARTIN",,3509,-25.8888226,-59.8984604
11313,"COLONIA VELEZ SARSFIELD",MAIPU,,3703,-26.2938245,-60.4428634
