id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
7440,"28 DE JULIO",GAIMAN,"28 DE JULIO",9107,-43.3809770,-65.8386880
7592,"AGUADA DE LAS TEJAS",TELSEN,,9121,,
7442,"AGUADA DEL PITO",GASTRE,,9121,,
7512,"ALDEA APELEG","RIO SENGUER","ALDEA APELEG",9033,-44.7052520,-70.8460010
7513,"ALDEA BELEIRO","RIO SENGUER","ALDEA BELEIRO",9037,-45.5614640,-71.5181730
7391,"ALDEA ESCOLAR",FUTALEUFU,,9203,-43.1198188,-71.5588967
7477,"ALTO DE LAS PLUMAS",MARTIRES,,9101,-43.6901741,-67.1943817
7514,"ALTO RIO MAYO","RIO SENGUER",,9037,-45.6862822,-70.2606285
7562,"ALTO RIO PICO",TEHUELCHES,,9223,,
7515,"ALTO RIO SENGUER","RIO SENGUER","ALTO RIO SENGUER",9033,-45.0422243,-70.8261417
7419,ANGOSTURA,GAIMAN,,9105,,
7420,"ANGOSTURA SEGUNDA",GAIMAN,,9105,,
7563,ARENOSO,TEHUELCHES,,9225,,
7516,"ARROYO CHALIA","RIO SENGUER",,9035,,
27906,"ARROYO EL MOSQUITO",CUSHAMEN,CHOLILA,9217,,
7517,"ARROYO GATO","RIO SENGUER",,9033,,
7483,"ARROYO GUILAIA","PASO DE INDIOS",,9207,,
7392,"ARROYO PERCY",FUTALEUFU,,9203,,
7393,"ARROYO PESCADO",FUTALEUFU,,9200,,
7543,"ARROYO QUILLA",SARMIENTO,,9020,,
7293,"ARROYO VERDE",BIEDMA,,8532,-42.0119887,-65.3064501
7352,"BAHIA BUSTAMANTE",ESCALANTE,,9111,-45.1143553,-66.5349166
7294,"BAHIA CRACHER",BIEDMA,,9120,,
7353,"BAHIA SOLANO",ESCALANTE,,9003,,
7593,"BAJADA DEL DIABLO",TELSEN,,9101,,
7443,"BAJADA MORENO",GASTRE,,9121,,
7296,"BAJO BARTOLO",BIEDMA,,9121,,
7502,"BAJO DE LOS HUESOS",RAWSON,,9103,,
7295,"BAJO DEL GUALICHO",BIEDMA,,9121,-42.3292580,-65.6313477
7518,"BAJO LA CANCHA","RIO SENGUER",,9031,,
7297,"BAJO LAS DAMAJUANAS",BIEDMA,,9121,,
21945,"BARRIO ASTRA",ESCALANTE,"COMODORO RIVADAVIA",9003,,
7503,"BASE AERONAVAL ALTE IRIZAR",RAWSON,,9101,,
7421,BETESTA,GAIMAN,,9105,,
7452,BLANCUNTRE,GASTRE,,9121,-42.5683892,-68.9190916
7422,"BOCA DE LA ZANJA",GAIMAN,,9107,,
7423,"BOCA ZANJA SUD",GAIMAN,,9107,,
27914,"BOQUETE BOLSON",CUSHAMEN,"EL MAITEN",9210,,
7424,"BRYN BROWN",GAIMAN,,9105,,
7425,"BRYN GWYN",GAIMAN,,9105,-43.3339557,-65.4725911
7544,"BUEN PASTO",SARMIENTO,"BUEN PASTO",9023,-45.0804230,-69.4497780
7323,"BUENOS AIRES CHICO",CUSHAMEN,,9210,-42.0687961,-71.2158343
7426,"CABAÑA DEL VALLE",GAIMAN,,9105,,
7478,"CABEZA DE BUEY",MARTIRES,,9101,,
7380,"CABO RASO","FLORENTINO AMEGHINO",,9111,-44.3381691,-65.2361755
21869,CACHEL,FUTALEUFU,,9201,,
7484,"CAJON DE GINEBRA CHICO","PASO DE INDIOS",,9201,-43.7488101,-69.5112103
7485,"CAJON DE GINEBRA GRANDE","PASO DE INDIOS",,9201,-43.7689819,-69.4433823
21952,"CALETA CORDOVA",ESCALANTE,"COMODORO RIVADAVIA",9003,-45.7327359,-67.3813477
7298,"CALETA VALDEZ",BIEDMA,,9121,,
7381,CAMARONES,"FLORENTINO AMEGHINO",CAMARONES,9111,-44.7978821,-65.7051468
7427,"CAMPAMENTO VILLEGAS",GAIMAN,,9107,-43.4835320,-66.1457901
7486,"CAÑADA BAGUAL","PASO DE INDIOS",,9207,,
7594,"CAÑADON BAGUAL",TELSEN,,9121,,
7595,"CAÑADON BLANCO",TELSEN,,9121,,
7324,"CAÑADON CALIENTE",CUSHAMEN,,9213,,
7545,"CAÑADON CARRIL",SARMIENTO,,9020,,
7564,"CAÑADON CHACAY",TEHUELCHES,,9223,,
7596,"CAÑADON CHILENO",TELSEN,,9121,,
7356,"CAÑADON FERRAIS",ESCALANTE,,9001,,
7325,"CAÑADON GRANDE",CUSHAMEN,,9213,,
7565,"CAÑADON LA MADERA",TEHUELCHES,,9220,,
7357,"CAÑADON LAGARTO",ESCALANTE,,9009,,
7358,"CAÑADON LOPEZ",ESCALANTE,,9009,,
7359,"CAÑADON PEDRO EX VALLE HERMOSO",ESCALANTE,,9009,,
7546,"CAÑADON TACHO",SARMIENTO,,9020,,
7444,"CARHUE NIYEO",GASTRE,,9121,-42.8411255,-68.4566116
7455,CARRENLEUFU,LANGUIÑEO,CARRENLEUFU,9201,-43.5856890,-71.7009020
7504,"CASA BLANCA",RAWSON,,9103,,
7566,"CASA BLANCA",TEHUELCHES,,9220,,
7597,CATAYCO,TELSEN,,9120,,
