id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
9867,"2 DE JULIO","GENERAL ALVEAR",,3344,,
19395,"8 DE DICIEMBRE",GOYA,,3450,,
10223,"9 DE JULIO","SAN ROQUE","9 DE JULIO",3445,-28.8418349,-58.8280464
9731,ABALO,"CURUZU CUATIA",,3466,,
9732,ABELI,"CURUZU CUATIA",,3466,,
9733,"ABO NEZU","CURUZU CUATIA",,3461,,
9955,ABRA,ITATI,,3414,,
10011,ABRA,MBURUCUYA,,3427,,
9785,"ABRA GUAZU",ESQUINA,,3197,-30.0784368,-59.4055912
10055,ACUÑA,"MONTE CASEROS",,3466,,
19913,"ACUÑA CUE",SALADAS,,3420,,
9964,AGUAPEY,ITUZAINGO,,3306,,
10262,AGUAPEY,"SANTO TOME",,3342,,
9965,"AGUARA CUA",ITUZAINGO,,3302,,
9895,AGUAY,"GENERAL PAZ",,3407,,
9734,AGUAY,"CURUZU CUATIA",,3461,-29.3095998,-58.5128555
20007,"AGUIRRE CUE","SAN LUIS DEL PALMAR",,3403,-27.4132515,-58.3788886
20008,"AGUIRRE LOMAS","SAN LUIS DEL PALMAR",,3403,,
10224,ALAMO,"SAN ROQUE",,3448,,
9927,ALAMO,GOYA,,3450,,
19980,ALBARDON,"SAN COSME",,3412,,
20010,ALBARDONES,"SAN LUIS DEL PALMAR",,3403,-27.6001018,-58.5127930
9786,ALEJANDRINA,ESQUINA,"PUEBLO LIBERTADOR",3197,,
10025,"ALEN CUE","SAN MARTIN",,3471,-29.1793297,-57.4515912
10026,"ALFONSO LOMAS",MERCEDES,,3471,,
10225,ALGARROBAL,"SAN ROQUE",,3445,-28.8839313,-58.7848563
9896,ALGARROBAL,"GENERAL PAZ",,3480,-27.7055629,-57.7949658
20422,"ALGARROBAL PUISOYE","GENERAL PAZ",,3405,,
9897,ALGARROBALES,"GENERAL PAZ",,3407,,
9990,ALGARROBO,LAVALLE,,3441,-28.8749275,-59.0445518
20182,"ALGARROBO PARAJE","SAN ROQUE",,3445,,
20011,"ALTA MORA","SAN LUIS DEL PALMAR",,3403,,
9860,ALTAMIRA,"GENERAL ALVEAR",,3344,-28.7483654,-56.6073418
9898,"ALTAMORA PARADA","GENERAL PAZ",,3407,,
9861,ALVEAR,"GENERAL ALVEAR",ALVEAR,3344,-29.0930042,-56.5474358
9899,ANGOSTURA,"GENERAL PAZ",,3481,-27.6046670,-57.4737171
19916,ANGUA,SALADAS,,3420,-28.3207605,-58.5464494
9966,"APIPE GRANDE",ITUZAINGO,,3302,,
17409,ARAÑITA,CONCEPCION,,3423,,
10027,"ARBOL SOLO",MERCEDES,,3230,,
9694,ARERUNGUA,"GENERAL PAZ",,3481,-27.5650055,-57.4419845
20241,ARISTIA,SAUCE,,3463,,
10012,ARROYITO,MBURUCUYA,,3427,,
9681,ARROYITO,"BELLA VISTA",,3448,,
10154,"ARROYO AMBROSIO",SALADAS,,3420,,
20122,"ARROYO BALMACEDA","SAN MIGUEL",,3483,-27.7817285,-57.3116269
9928,"ARROYO CARANCHO",GOYA,,3450,,
9735,"ARROYO CASCO","CURUZU CUATIA",,3465,,
17551,"ARROYO CASTILLO","CURUZU CUATIA",,3460,,
19919,"ARROYO CEIBAL",SALADAS,,3416,-28.1134474,-58.7366992
9736,"ARROYO GARAY","CURUZU CUATIA",,3185,,
10226,"ARROYO GONZALEZ","SAN ROQUE",,3445,-28.7457663,-58.8880164
19730,"ARROYO GRANDE",MERCEDES,,3470,-28.7814821,-57.9481002
19812,"ARROYO HORQUETA","MONTE CASEROS",,3466,,
10056,"ARROYO MANGANGA","MONTE CASEROS",,3220,,
9862,"ARROYO MENDEZ","GENERAL ALVEAR",,3344,-29.0824098,-56.5397190
10227,"ARROYO PAISO","SAN ROQUE",,3445,,
19981,"ARROYO PELON","SAN COSME",,3401,,
20013,"ARROYO PONTON","SAN LUIS DEL PALMAR",,3401,-27.5833435,-58.5998992
10165,"ARROYO SAN JUAN","SAN COSME",,3409,,
9787,"ARROYO SARANDI",ESQUINA,,3194,,
9788,"ARROYO SATURNO",ESQUINA,,3197,,
20243,"ARROYO SECO",SAUCE,,3463,,
9737,"ARROYO SECO","CURUZU CUATIA",,3641,-29.5471553,-58.6355156
9771,"ARROYO SOLIS",EMPEDRADO,,3401,-27.7922091,-58.6042184
9789,"ARROYO SORO",ESQUINA,,3194,-30.2634460,-59.5484967
10057,"ARROYO TIMBOY","MONTE CASEROS",,3220,,
10058,"ARROYO TOTORAS","MONTE CASEROS",,3220,,
9790,"ARROYO VEGA",ESQUINA,,3196,,
9900,"AYALA CUE","GENERAL PAZ",,3407,-27.6596222,-57.7391205
20085,BACACAY,"SAN MARTIN",,3346,,
9738,BAIBIENE,"CURUZU CUATIA",,3466,-29.6131134,-58.1897075
10228,"BAJO GRANDE","SAN ROQUE",,3445,,
9709,"BAJO GUAZU",CONCEPCION,,3421,,
20141,BALENGO,"SAN ROQUE",,3448,,
9929,BALENGO,GOYA,,3450,,
17315,"BAÑADO NORTE",CAPITAL,,3400,,
9930,"BAÑADO SAN ANTONIO",GOYA,,3454,,
17317,"BAÑADO SUR",CAPITAL,,3400,,
20014,BARGONE,"SAN LUIS DEL PALMAR",,3403,,
