id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
25493,"9 DE JULIO",MINAS,,5272,,
23338,ABBURRA,COLON,,5220,,
16178,ACHIRAS,"RIO CUARTO",ACHIRAS,5833,-33.1784477,-64.9935303
24561,ACHIRAS,"SAN JAVIER",,5875,,
25311,ACOLLARADO,TULUMBA,,5216,,
25593,ACOSTILLA,POCHO,,5871,,
16179,"ADELIA MARIA","RIO CUARTO","ADELIA MARIA",5843,-33.6325188,-64.0215988
24361,"AGUA DE CRESPIN","CRUZ DEL EJE",,5285,,
25230,"AGUA DE LAS PIEDRAS",TOTORAL,,5221,-30.8178597,-64.2118502
16054,"AGUA DE ORO",COLON,"AGUA DE ORO",5107,-31.0649335,-64.3012088
23092,"AGUA DE ORO","RIO SECO",,5248,-29.8135599,-63.7552400
25559,"AGUA DE TALA",PUNILLA,,5155,,
25312,"AGUA DEL TALA",TULUMBA,,5243,,
25314,"AGUA HEDIONDA",TULUMBA,,5216,-29.9823914,-64.4900078
24892,"AGUA PINTADA",ISCHILIN,,5212,,
25070,"AGUADA DEL MONTE",SOBREMONTE,,5209,,
25073,AGUADITA,SOBREMONTE,,5209,,
25495,"AGUAS DE RAMON",MINAS,,5284,-30.8477306,-65.3623352
23565,AGUASACHA,COLON,,5221,,
16180,"ALCIRA GIGENA","RIO CUARTO",ALCIRA,5813,-32.7570653,-64.3378599
25484,"ALDEA SANTA MARIA",UNION,"ALDEA SANTA MARIA",2651,-33.6948820,-62.9114760
16113,"ALEJANDRO ROCA","JUAREZ CELMAN","ALEJANDRO ROCA",2686,-33.3533363,-63.7177963
16126,"ALEJO LEDESMA","MARCOS JUAREZ","ALEJO LEDESMA",2662,-33.6066704,-62.6231995
24188,ALGARROBAL,"SAN ALBERTO",,5885,,
24893,ALGARROBO,ISCHILIN,,5221,,
16253,ALICIA,"SAN JUSTO",ALICIA,5949,-31.9375172,-62.4665871
16292,ALMAFUERTE,"TERCERO ARRIBA",ALMAFUERTE,5854,-32.1947746,-64.2538834
25705,"ALPA CORRAL","RIO CUARTO","ALPA CORRAL",5801,-32.6904040,-64.7211710
25706,ALPAPUCA,"RIO CUARTO",,5813,,
16274,"ALTA GRACIA","SANTA MARIA","ALTA GRACIA",5186,-31.6544495,-64.4347382
24189,ALTAUTINA,"SAN ALBERTO",,5871,-31.7905627,-65.1671019
24906,"ALTO ALEGRE","SANTA MARIA",,5121,,
16316,"ALTO ALEGRE",UNION,"ALTO ALEGRE",5907,-32.3456955,-62.8833809
25561,"ALTO CASTRO",PUNILLA,,5182,,
23570,"ALTO DE CASTILLO",COLON,,5145,,
24909,"ALTO DE FIERRO","SANTA MARIA",,5119,,
25316,"ALTO DE FLORES",TULUMBA,,5203,-30.3803854,-64.0417382
24563,"ALTO DE LAS MULAS","SAN JAVIER",,5875,,
24363,"ALTO DE LOS QUEBRACHOS","CRUZ DEL EJE","ALTO DE LOS QUEBRACHOS",5281,-30.5409660,-65.0384390
25563,"ALTO DE SAN PEDRO",PUNILLA,,5174,,
24916,"ALTO DEL DURAZNO","SANTA MARIA",,5119,-31.5591004,-64.1919687
22567,"ALTO DEL TALA",CALAMUCHITA,,5295,,
24190,"ALTO GRANDE","SAN ALBERTO",,5893,-31.5179995,-65.1114507
24566,"ALTO RESBALOSO","SAN JAVIER",,5885,,
25317,"ALTO VERDE",TULUMBA,,5205,-30.1689987,-64.1133118
16254,"ALTOS DE CHIPION","SAN JUSTO","ALTOS DE CHIPION",2417,-30.9565601,-62.3377037
22569,AMBOY,CALAMUCHITA,AMBOY,5199,-32.1759170,-64.5765480
24191,AMBUL,"SAN ALBERTO",AMBUL,5299,-31.4896830,-65.0566540
25417,"ANA ZUMARAN",UNION,"ANA ZUMARAN",5905,-32.3908240,-63.0574840
25564,ANGOSTURA,PUNILLA,,5155,,
23574,ANIMI,COLON,,5107,,
16276,ANISACATE,"SANTA MARIA",ANISACATE,5189,-31.7231379,-64.4144863
24743,"ANTONIO CATALANO","GENERAL ROCA",,6271,,
25318,"ARBOL BLANCO",TULUMBA,,5216,,
24726,"ARBOL CHATO","SAN JUSTO",,2432,,
24570,"ARBOLES BLANCOS","SAN JAVIER",,5873,,
24408,ARCOYO,"SAN ALBERTO",,5297,,
16127,ARIAS,"MARCOS JUAREZ",ARIAS,2624,-33.6406250,-62.4037209
23095,AROMITO,"RIO SECO",,2341,,
16255,ARROYITO,"SAN JUSTO",ARROYITO,2434,-31.4148674,-63.0525055
24193,ARROYO,"SAN ALBERTO",,5297,,
16091,"ARROYO ALGODON","GENERAL SAN MARTIN","ARROYO ALGODON",5909,-32.2009583,-63.1649551
16092,"ARROYO CABRAL","GENERAL SAN MARTIN","ARROYO CABRAL",5917,-32.4912376,-63.4015579
24727,"ARROYO DE ALVAREZ","SAN JUSTO",,2434,-31.5626183,-63.1766968
24197,"ARROYO DE LOS PATOS","SAN ALBERTO","ARROYO LOS PATOS",5889,-31.7500820,-65.0043000
24837,"ARROYO DEL PINO","GENERAL SAN MARTIN",,5901,,
24195,"ARROYO LA HIGUERA","SAN ALBERTO",,5889,,
22572,"ARROYO SAN ANTONIO",CALAMUCHITA,,5859,-32.2620515,-64.5937253
25707,"ARROYO SANTA CATALINA","RIO CUARTO",,5825,,
22575,"ARROYO SANTANA",CALAMUCHITA,,5819,,
22579,"ARROYO SECO",CALAMUCHITA,,5196,-32.0928621,-64.5638785
22583,"ARROYO TOLEDO",CALAMUCHITA,,5819,,
25708,"ARSENAL JOSE MARIA ROJAS","RIO CUARTO",,5825,,
23577,ASCOCHINGA,COLON,,5117,-30.9594646,-64.2754166
25260,ASSUNTA,"JUAREZ CELMAN",ASSUNTA,2671,-33.6332960,-63.2259060
25486,ATAHONA,"RIO PRIMERO",ATAHONA,5225,-30.9035320,-63.7055650
22565,"ATHOS PAMPA",CALAMUCHITA,,5194,,
22589,"ATUMI PAMPA",CALAMUCHITA,,5196,,
23582,"AUGUSTO VANDERSANDE",COLON,,5145,,
16093,AUSONIA,"GENERAL SAN MARTIN",AUSONIA,5901,-32.6613083,-63.2429199
24894,AVELLANEDA,ISCHILIN,AVELLANEDA,5212,-30.5946760,-64.2078390
22604,"BAJADA NUEVA","RIO CUARTO",,5813,,
24913,"BAJO CHICO","SANTA MARIA",,5189,-31.6992920,-64.3199054
22975,"BAJO CHICO BAJO GRANDE",COLON,,5101,,
22671,"BAJO DE FERNANDEZ","RIO PRIMERO",,5101,,
23762,"BAJO DE GOMEZ","RIO SEGUNDO",,5961,,
24895,"BAJO DE OLMOS",ISCHILIN,,5221,,
25352,"BAJO DEL BURRO","MARCOS JUAREZ",,2662,,
22594,"BAJO DEL CARMEN",CALAMUCHITA,,5189,,
24199,"BAJO EL MOLINO","SAN ALBERTO",,5887,,
23766,"BAJO GALINDEZ","RIO SEGUNDO",,5961,,
24918,"BAJO GRANDE","SANTA MARIA",,5101,-31.6177821,-64.2069795
23098,"BAJO HONDO","RIO SECO",,5231,,
24364,"BAJO LINDO","CRUZ DEL EJE",,5270,-30.5806975,-65.4962693
23100,BALBUENA,"RIO SECO",,5248,,
24203,"BALDE DE LA MORA","SAN ALBERTO",,5871,-31.8010651,-65.6910788
25595,"BALDE DE LA ORILLA",POCHO,,5871,-31.3193283,-65.6178589
24207,"BALDE LINDO","SAN ALBERTO",,5871,,
16317,BALLESTEROS,UNION,BALLESTEROS,2572,-32.5450096,-62.9827042
16318,"BALLESTEROS SUD",UNION,"BALLESTEROS SUD",2572,-32.5885971,-63.0270388
16256,BALNEARIA,"SAN JUSTO",BALNEARIA,5141,-31.0090960,-62.6670496
22675,"BALNEARIO GUGLIERI","RIO PRIMERO",,5137,,
24212,"BAÑADO DE PAJA","SAN ALBERTO",,5871,,
24365,"BAÑADO DE SOTO","CRUZ DEL EJE","BAÑADO DE SOTO",5285,-30.8044360,-65.0436620
23109,"BAÑADO DEL FUERTE","RIO SECO",,5248,,
24571,"BANDA DE VARELA","SAN JAVIER",,5875,,
24897,"BARRANCA YACO",TOTORAL,,5212,-30.8595065,-64.1012072
25261,BARRETO,"JUAREZ CELMAN",,2671,-33.3160107,-63.2538219
23113,BARRETO,"RIO SECO",,5246,,
24709,BARRIAL,"CRUZ DEL EJE",,5281,,
24367,BARRIALITOS,"CRUZ DEL EJE",,5284,,
