id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
9224,"1 DE MAYO",URUGUAY,"1 DE MAYO",3263,-32.2570120,-58.4227290
9044,"20 DE SEPTIEMBRE",NOGOYA,"20 DE SETIEMBRE",3158,-32.3866240,-59.6630740
9171,ACHIRAS,URUGUAY,,3246,,
18646,"AERO CLUB CANAL",GUALEGUAYCHU,,2823,,
8907,ALARCON,GUALEGUAYCHU,,2852,-33.1545051,-58.9889011
8879,ALBARDON,GUALEGUAY,,2840,,
18349,ALBARIÑO,FEDERACION,,3183,,
9172,"ALBERTO GERCHUNOFF",URUGUAY,,3170,,
8981,ALCARACITO,"LA PAZ",,3142,,
8984,"ALCARAZ 1RO","LA PAZ",,3144,,
8982,"ALCARAZ 2DO","LA PAZ",,3138,-31.3424473,-59.6554527
8985,"ALCARAZ NORTE","LA PAZ","ALCARAZ NORTE",3136,-31.3174280,-59.6598430
8986,"ALCARAZ SUD","LA PAZ","ALCARAZ SUR",3137,-31.4642450,-59.8419310
19631,ALCETE,PARANA,,3127,,
8880,"ALDEA ASUNCION",GUALEGUAY,"ALDEA ASUNCION",2841,-32.8251720,-59.2312380
8775,"ALDEA BRASILERA",DIAMANTE,"ALDEA BRASILERA",3101,-31.8922860,-60.5917980
19636,"ALDEA CHALECO",PARANA,,3116,,
19642,"ALDEA CUESTA",PARANA,,3116,,
19649,"ALDEA EIGENFELD",PARANA,"ALDEA EIGENFELD",3116,-31.8854130,-60.2344480
8783,"ALDEA GRAPSCHENTAL",DIAMANTE,"ALDEA GRAPSCHENTAL",3114,-31.9563720,-60.4961050
9075,"ALDEA MARIA LUISA",PARANA,"ALDEA MARIA LUISA",3114,-31.8847290,-60.4087460
8776,"ALDEA PROTESTANTE",DIAMANTE,"ALDEA PROTESTANTE",3101,-32.0279351,-60.5624595
8777,"ALDEA SALTO",DIAMANTE,"ALDEA SALTO",3101,-31.9260360,-60.5483850
8908,"ALDEA SAN ANTONIO",GUALEGUAYCHU,"ALDEA SAN ANTONIO",2826,-32.6261063,-58.7027168
27827,"ALDEA SAN ANTONIO",PARANA,"ALDEA SAN ANTONIO",3117,-31.8537980,-60.1725460
18180,"ALDEA SAN FRANCISCO",DIAMANTE,,3101,-31.9625681,-60.6357135
20550,"ALDEA SAN GREGORIO",COLON,,3287,-31.7073586,-58.2866096
20551,"ALDEA SAN JORGE",VILLAGUAY,,3252,,
19665,"ALDEA SAN JOSE",PARANA,,3116,,
18649,"ALDEA SAN JUAN",GUALEGUAYCHU,"ALDEA SAN JUAN",2826,-32.7037890,-58.7790630
19393,"ALDEA SAN MIGUEL",NOGOYA,"ALDEA SAN MIGUEL",3116,-32.0805850,-60.1632800
9076,"ALDEA SAN RAFAEL",PARANA,"ALDEA SAN RAFAEL",3116,-31.9485703,-60.2594719
18650,"ALDEA SANTA CELIA",GUALEGUAYCHU,,2826,-32.6617500,-58.7366740
9077,"ALDEA SANTA MARIA",PARANA,"ALDEA SANTA MARIA",3123,-31.6128700,-60.0070720
19396,"ALDEA SANTA MARIA",NOGOYA,,3123,,
19679,"ALDEA SANTA ROSA",PARANA,"ALDEA SANTA ROSA",3116,-32.0164540,-60.2411070
18182,"ALDEA SANTAFECINA",DIAMANTE,,3103,,
8778,"ALDEA SPATZENKUTTER",DIAMANTE,"ALDEA SPATZENKUTTER",3101,-31.9485290,-60.5803970
8779,"ALDEA VALLE MARIA",DIAMANTE,"ALDEA VALLE MARIA",3101,-31.9907436,-60.5893860
19401,"ALGARROBITOS 1RO",NOGOYA,,3150,,
9078,"ALMACEN CRISTIAN SCHUBERT",PARANA,,3111,,
19410,"ALMIRANTE IGLESIAS",NOGOYA,,3150,,
20072,"ALTAMIRANO NORTE",TALA,,3177,-31.9962038,-59.2464906
20077,"ALTAMIRANO SUD",TALA,"ALTAMIRANO SUR",3174,-32.0888340,-59.1740710
19025,ANAHI,"ISLAS DEL IBICUY",,2846,,
9239,ANTELO,VICTORIA,ANTELO,3151,-32.5338100,-60.0356970
20057,"ANTONIO TOMAS",PARANA,"ANTONIO TOMAS",3125,-31.5453250,-59.9743540
9079,"ANTONIO TOMAS SUD",PARANA,,3134,,
9045,ARANGUREN,NOGOYA,ARANGUREN,3162,-32.2443130,-60.1627988
8648,"ARROYO BARU",COLON,"ARROYO BARU",3269,-31.8680191,-58.4467049
18655,"ARROYO BRASILERO",GUALEGUAYCHU,,2805,,
18660,"ARROYO BUEN PASTOR","ISLAS DEL IBICUY",,2823,,
19685,"ARROYO BURGOS",PARANA,"ARROYO BURGOS",3133,-31.5467150,-59.7170680
18661,"ARROYO CABALLO","ISLAS DEL IBICUY",,2823,,
17099,"ARROYO CARABALLO",COLON,,3265,,
19042,"ARROYO CEIBO","LA PAZ",,3191,,
27840,"ARROYO CLE",TALA,"ARROYO CLE",2841,-32.6338910,-59.4016110
17118,"ARROYO CONCEPCION",COLON,,3287,-31.7671751,-58.1450295
27845,"ARROYO CORRALITO",PARANA,"ARROYO CORRALITO",3122,-31.5325540,-60.0503450
8909,"ARROYO DEL CURA",GUALEGUAYCHU,,2821,,
8845,"ARROYO DEL MEDIO",FEDERAL,"ARROYO DEL MEDIO",3144,-31.2729910,-59.0904180
17628,"ARROYO EL MOCHO",CONCORDIA,,3212,,
27961,"ARROYO GENA",URUGUAY,"ARROYO GENA",3272,-32.5305970,-58.5571070
17125,"ARROYO GRANDE","SAN SALVADOR",,3203,-31.5939851,-58.3711602
19046,"ARROYO HONDO","LA PAZ",,3190,-30.6036041,-59.5275199
17629,"ARROYO HONDO",CONCORDIA,,3216,,
18691,"ARROYO IBICUYCITO","ISLAS DEL IBICUY",,2805,,
20451,"ARROYO JACINTO",VICTORIA,,3101,,
18692,"ARROYO LA PACIENCIA","ISLAS DEL IBICUY",,2805,,
17631,"ARROYO LA VIRGEN",CONCORDIA,,3212,,
9080,"ARROYO LAS TUNAS",PARANA,,3111,,
27959,"ARROYO LAS TUNAS",FEDERAL,"ARROYO LAS TUNAS",3180,-30.7300650,-59.0131370
18699,"ARROYO LOS PLATOS",GUALEGUAYCHU,,2805,,
19689,"ARROYO MARIA",PARANA,,3133,,
27847,"ARROYO MATURRANGO",PARANA,"ARROYO MATURRANGO",3133,-31.6522220,-59.9766670
20131,"ARROYO MOLINO",URUGUAY,,3260,,
17632,"ARROYO MOREIRA",CONCORDIA,,3181,,
20081,"ARROYO OBISPO",TALA,,3174,-32.2084561,-59.1955428
17127,"ARROYO PALMAR",COLON,,3218,,
27846,"ARROYO PALO SECO",PARANA,"ARROYO PALO SECO",3133,-31.6066670,-59.7622220
19692,"ARROYO PANCHO",PARANA,,3111,,
18719,"ARROYO PRINCIPAL",GUALEGUAYCHU,,2823,,
