id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
23870,"19 DE MARZO",PIRANE,,3630,,
23814,"9 DE JULIO",PIRANE,,3606,-25.5645932,-59.1029041
23819,"AGENTE ARGENTINO ALEGRE",PIRANE,,3608,,
8469,"AGENTE FELIPE SANTIAGO IBAÑEZ",PATIÑO,,3624,,
8365,"AGUA VERDE",BERMEJO,,3636,,
17556,"AGUAS NEGRAS",BERMEJO,,3634,,
8366,"ALFONSINA STORNI",BERMEJO,,3634,,
8470,ALOLAGUE,PATIÑO,,3626,,
8471,"ALTO ALEGRE",PATIÑO,,3620,,
17635,"ALTO ALEGRE",BERMEJO,,3634,-23.9867533,-60.8231372
22770,"ANDRES FLORES",PATIÑO,,3620,,
23451,ANGOSTURA,PILCOMAYO,,3611,,
8565,APAYEREY,PILAGAS,,3615,-24.9895438,-58.6912886
8472,"ARBOL SOLO",PATIÑO,,3628,,
23270,"AYUDANTE PAREDES",PILAGAS,,3611,,
8414,"BAHIA NEGRA",LAISHI,,3600,,
8367,"BAJO HONDO",BERMEJO,,3630,-24.0339571,-60.7654318
17651,"BAJO VERDE",BERMEJO,,3634,-23.9354668,-60.6079483
23823,BALLON,PIRANE,,3620,,
8415,"BANCO PAYAGUA",LAISHI,"BANCO PAYAGUA",3601,-26.7071300,-58.3390750
8585,"BARRIO EL PORTEÑO",PILCOMAYO,CLORINDA,3611,-25.2626640,-57.7297520
8610,"BARRIO SAN JOSE OBRERO",PIRANE,,3606,,
23456,"BARRIO SAN MARTIN",PILCOMAYO,,3610,,
23459,"BARRIO SUD AMERICA",PILCOMAYO,,3610,,
8473,"BARTOLOME DE LAS CASAS",PATIÑO,"BARTOLOME DE LAS CASAS",3622,-25.3474022,-59.6181476
8566,"BELLA VISTA",PILAGAS,,3615,-25.0988846,-58.5662308
22148,"BOCA DEL RIACHO DE PILAGA",FORMOSA,,3600,,
23461,BOCARIN,PILCOMAYO,,3611,,
8453,"BOLSA DE PALOMO",MATACOS,,3636,-24.2059307,-62.1173019
23467,"BRIGADIER GENERAL PUEYRREDON",PILCOMAYO,,3610,,
8474,BRUCHARD,PATIÑO,,3622,,
8368,"BUEN LUGAR",BERMEJO,,3636,,
8567,"BUENA VISTA",PILAGAS,"BUENA VISTA",3615,-25.0185155,-58.4451833
8369,"CABALLO MUERTO",BERMEJO,,3636,,
8475,"CABO 1RO CASIMIRO BENITEZ",PATIÑO,,3626,,
8416,"CABO ADRIANO AYALA",LAISHI,,3526,-26.5948780,-58.6872400
23834,"CABO NOROÑA",PIRANE,,3606,,
8370,"CABO PRIMERO CHAVEZ",BERMEJO,,3630,,
22771,"CAMPO ALEGRE",PATIÑO,,3630,-25.1329343,-60.3321973
8476,"CAMPO AZCURRA",PATIÑO,,3624,-25.3149374,-59.8636195
8477,"CAMPO DEL CIELO",PATIÑO,,3624,-24.4779300,-60.4025300
17678,"CAMPO EL SURI",BERMEJO,,3634,-24.2282295,-61.6002579
8417,"CAMPO GORETA",LAISHI,,3601,,
8454,"CAMPO GRANDE",MATACOS,,3636,-24.1065000,-62.2177101
22773,"CAMPO OSWALD",PATIÑO,,3608,,
22775,"CAMPO REDONDO",PATIÑO,,3630,,
