id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
13193,"23 DE AGOSTO",LEDESMA,,4504,-23.7806454,-64.6566238
13055,"ABDON CASTRO TOLAY",COCHINOCA,"ABDON CASTRO TOLAY",4641,-23.3362293,-66.0937119
16656,"ABRA DE PEÑAS",YAVI,,4650,,
23987,"ABRA DE PIVES",TUMBAYA,,4618,,
23843,"ABRA DEL TRIGO","SANTA BARBARA",,4501,,
13300,"ABRA MAYO",TILCARA,,4624,-23.7752524,-65.2980478
13056,"ABRA PAMPA",COCHINOCA,"ABRA PAMPA",4640,-22.7207680,-65.6960831
13057,ABRALAITE,COCHINOCA,ABRALAITE,4634,-23.1538170,-65.7853350
23988,ACHACAMAYOC,TUMBAYA,,4618,,
23989,"AGUA BENDITA",TUMBAYA,,4618,-23.8320560,-65.4755783
13058,"AGUA CALIENTE DE LA PUNA",COCHINOCA,,4641,-22.8414623,-66.0792786
13059,"AGUA CHICA",COCHINOCA,,4640,-22.9351349,-65.7536392
23441,"AGUA DE CASTILLA",COCHINOCA,,4640,-23.2161107,-65.8126833
27619,"AGUA DE CASTILLA",YAVI,,4651,,
23575,"AGUA NEGRA",LEDESMA,,4512,-23.8313751,-65.0166016
23991,"AGUA PALOMAR",TUMBAYA,,4618,,
23848,"AGUAS BLANCAS","SANTA BARBARA",,4501,,
13060,"AGUAS CALIENTES","EL CARMEN","AGUAS CALIENTES",4431,-24.5838760,-64.9235272
27821,"AGUAS CALIENTES","SANTA BARBARA",,4518,,
16621,ALEGRIA,LEDESMA,,4506,,
13301,ALFARCITO,TILCARA,,4624,-23.5871507,-65.3632074
23576,ALGARROBAL,LEDESMA,,4600,,
13228,"ALISOS DE ABAJO","SAN ANTONIO",,4605,,
23808,"ALISOS DE ARRIBA","SAN ANTONIO",,4605,,
13178,"ALTO CALILEGUA","VALLE GRANDE",,4513,-23.5631143,-64.8971377
13094,"ALTO COMEDERO","DR MANUEL BELGRANO","SAN SALVADOR DE JUJUY",4600,,
23992,"ALTO DE CASA",TUMBAYA,,4618,,
23993,"ALTO DE LOZANO",TUMBAYA,,4618,,
23994,"ALTO DE MOJON",TUMBAYA,,4618,,
23995,"ALTO DEL ANGOSTO",TUMBAYA,,4618,,
16633,"ALTO DEL SALADILLO","SAN PEDRO",,4500,,
23996,"ALTO DEL SALADILLO",TUMBAYA,,4522,,
23997,"ALTO HUANCAR",TUMBAYA,,4618,,
23998,"ALTO MINERO",TUMBAYA,,4618,,
23999,"ALTO POTRERILLO",TUMBAYA,,4618,,
24000,"ALTO QUEMADO",TUMBAYA,,4618,,
24001,"ALTO QUIRQUINCHO",TUMBAYA,,4618,,
13109,"ALTO VERDE","EL CARMEN",,4608,-24.4262104,-65.1074066
16640,AMANCAYOC,"VALLE GRANDE",,4513,,
16642,AMARGURAS,"VALLE GRANDE",,4513,,
23975,"ANGOSTO DEL PERCHEL",TILCARA,,4626,,
23578,ANIMAS,LEDESMA,,4512,,
24066,ANTIGUO,"VALLE GRANDE",,4631,,
23758,ANTIGUYOS,RINCONADA,,4643,,
23533,ANTUMPA,HUMAHUACA,,4632,,
23579,APAREJO,LEDESMA,,4512,,
13145,APARZO,HUMAHUACA,,4630,-23.0996196,-65.1862116
13061,"ARBOLITO NUEVO",COCHINOCA,,4643,-22.5939300,-65.8503600
13179,"ARENAL BARROSO",LEDESMA,,4506,,
