id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
7114,"25 DE MAYO",PUELEN,"COLONIA 25 DE MAYO",8201,-37.7724609,-67.7145157
6958,ABRAMO,HUCAL,ABRAMO,8212,-37.8955460,-63.8512567
7180,"ADOLFO VAN PRAET",REALICO,"ADOLFO VAN PRAET",6212,-35.0179130,-64.0351179
6864,"AGUA DE TORRE","CHICAL CO","LA HUMADA",5621,,
6830,"AGUAS BUENAS",CHAPALEUFU,,6228,,
18395,AGUSTONI,MARACO,AGUSTONI,6361,-35.7811020,-63.3932490
7123,"ALFREDO PEÑA","QUEMU QUEMU",,6333,,
6865,"ALGARROBO DEL AGUILA","CHICAL CO","ALGARROBO DEL AGUILA",6323,-36.4011470,-67.1484020
6930,ALPACHIRI,GUATRACHE,ALPACHIRI,6309,-37.3762550,-63.7744102
7181,"ALTA ITALIA",REALICO,"ALTA ITALIA",6207,-35.3345490,-64.1173630
6741,ANGUIL,CAPITAL,ANGUIL,6326,-36.5238152,-64.0085373
6733,ANZOATEGUI,"CALEU CALEU","LA ADELA",8138,-38.9630527,-63.8608882
7230,ARATA,TRENEL,ARATA,6385,-35.6397629,-64.3572311
6815,"ARBOL DE LA ESPERANZA","LIMAY MAHUIDA",,6323,-36.9431419,-66.9756927
18637,"ARBOL SOLO",CHALILEO,"SANTA ISABEL",6323,-36.6362080,-66.4769166
7085,"ARGENTINA BELVEDERE",MARACO,,6367,,
18666,"ARTURO ALMARAZ",CATRILO,,6330,,
7238,"ATALIVA ROCA",UTRACAN,"ATALIVA ROCA",6301,-37.0311661,-64.2838211
6688,ATREUCO,ATREUCO,MACACHIN,6305,-37.1262961,-63.8292112
7086,AZTEAZU,MARACO,,6365,,
7199,"BAJO DE LAS PALOMAS",TOAY,,6313,,
6734,"BALO LOS MORROS","CALEU CALEU",,8138,,
6742,"BARRANCAS COLORADAS",CAPITAL,"SANTA ROSA",6300,-36.6830254,-64.1937943
7239,"BARRANCAS COLORADAS",UTRACAN,,8201,,
7087,"BARRIO EL MOLINO",MARACO,,6360,,
18320,BELGRANO,UTRACAN,,8201,,
