id_localidad,nombre,partido,municipio,cp,latitud,longitud
14103,"ABRA VERDE","ROSARIO VERA PEÑALOZA",,5470,-31.3835964,-66.6269531
13891,"AGUA BLANCA","CASTRO BARROS","CASTRO BARROS",5301,-28.9669018,-67.0184326
14104,"AGUA BLANCA","ROSARIO VERA PEÑALOZA",,5471,-31.7035573,-66.2855435
14043,"AGUA COLORADA","GENERAL OCAMPO",,5275,-30.8782578,-66.1800537
13986,"AGUA COLORADA","GENERAL BELGRANO",,5383,-30.5572281,-66.1607285
14105,"AGUA DE LA PIEDRA","ROSARIO VERA PEÑALOZA",,5475,-31.2554490,-66.3909596
14106,"AGUA DE PIEDRA","ROSARIO VERA PEÑALOZA",,5470,,
13892,AGUADA,"CASTRO BARROS",,5301,,
14010,AGUADITA,"GENERAL JUAN FACUNDO QUIROGA",,5385,,
14077,AGUAYO,"GENERAL SAN MARTIN",,5473,-31.6922261,-65.8860390
13928,AICUÑA,"CORONEL FELIPE VARELA",,5361,-29.4772471,-67.7729134
13831,AIMOGASTA,ARAUCO,ARAUCO,5310,-28.5604229,-66.8074951
13971,ALCAZAR,"GENERAL ANGEL VICENTE PEÑALOZA",,5385,-30.3645856,-66.5470485
20697,"ALGARROBO GRANDE","GENERAL SAN MARTIN",,5473,-31.7801876,-65.8924713
14145,ALPASINCHE,"SAN BLAS DE LOS SAUCES",,5325,-28.3536422,-67.0804334
14044,"ALTILLO DEL MEDIO","GENERAL OCAMPO",,5274,,
14107,"ALTO BAYO","ROSARIO VERA PEÑALOZA",,5470,-31.5781378,-66.5086632
13947,"ALTO CARRIZAL",FAMATINA,,5361,-28.8736691,-67.5689979
14173,"ALTO JAGUEL",VINCHINA,,5359,-28.6395836,-68.4128876
14097,AMANA,INDEPENDENCIA,,5386,-30.0611120,-67.5084951
14045,AMBIL,"GENERAL OCAMPO",,5475,-31.1413359,-66.3603819
13844,AMILGANCHO,CAPITAL,,5300,,
13893,AMINGA,"CASTRO BARROS","CASTRO BARROS",5301,-28.8353672,-66.9178696
20322,AMPATA,CAPITAL,,5300,-29.7251968,-66.6060867
14146,AMUSCHINA,"SAN BLAS DE LOS SAUCES",,5329,-28.5720804,-67.1801863
13845,ANCHICO,CAPITAL,,5301,-29.5764474,-66.4358754
21844,ANCHUMBIL,"CORONEL FELIPE VARELA",,5361,-29.2807026,-68.1556702
