id_localidad,nombre,partido,municipio,cp,latitud,longitud
5958,"12 DE OCTUBRE","SANTA ROSA","SANTA ROSA",5596,-33.1912015,-68.2809624
5956,"25 DE MAYO","SAN RAFAEL","SAN RAFAEL",5615,-34.5829353,-68.5452499
5723,"3 DE MAYO",LAVALLE,LAVALLE,5543,-32.6755279,-68.6462113
5683,"9 DE JULIO",LAVALLE,,5533,,
17072,"ADRIAN MATURANO","LA PAZ",,5590,,
5730,AGRELO,"LUJAN DE CUYO","LUJAN DE CUYO",5509,-33.1242409,-68.9035492
5806,"AGUA AMARGA",MALARGUE,,5563,,
17455,"AGUA BOTADA",MALARGUE,,5613,,
17456,"AGUA DE CABRERA",MALARGUE,,5613,,
20346,"AGUA DE DIAZ",MALARGUE,,5545,,
16943,"AGUA DE LA MULA","SAN RAFAEL",,5600,,
5731,"AGUA DE LOS MANANTIALES","LUJAN DE CUYO",,5549,,
17457,"AGUA DEL CHANCHO",MALARGUE,,5613,,
5808,"AGUA DEL TORO",MALARGUE,,5621,-36.6428337,-68.5516891
5807,"AGUA ESCONDIDA",MALARGUE,,5621,-36.1532390,-68.3048429
16942,"AGUA NUEVA","SAN RAFAEL",,5600,,
20360,"AGUA RICA",MALARGUE,,5611,,
5863,AGUADA,"SAN CARLOS",,5569,,
17458,"AGUADA PENEPE",MALARGUE,,5613,,
17459,"AGUADA PEREZ",MALARGUE,,5613,,
17460,"AGUADA PUESTO LA TOTORA",MALARGUE,,5611,,
17942,"ALBERTO FLORES","SAN MARTIN",,5582,,
17073,"ALEJANDRO PEREZ","LA PAZ",,5590,,
17074,"ALFREDO LUCERO","LA PAZ",,5590,,
5640,"ALGARROBAL ABAJO","LAS HERAS",,5541,-32.8062340,-68.7659000
5641,"ALGARROBAL ARRIBA","LAS HERAS",,5541,,
19961,ALGARROBITO,LAVALLE,,5537,,
20217,ALGARROBO,LAVALLE,,5533,,
16971,"ALGARROBO DE SORTUE","SAN RAFAEL",,5600,,
5593,"ALGARROBO GRANDE",JUNIN,,5582,-33.1509003,-68.4088063
5617,ALPATACAL,"LA PAZ",,5591,,
19962,"ALTO AMARILLO",LAVALLE,,5537,,
18012,"ALTO CON ZAMPA","SANTA ROSA",,5594,,
17404,"ALTO DE LAS ARAÑAS",LAVALLE,,5519,,
5732,"ALTO DE LOS MANANTIALES","LUJAN DE CUYO",,5549,,
17075,"ALTO DE LOS PERROS","LA PAZ",,5590,,
17076,"ALTO DE LOS SAPOS","LA PAZ",,5590,,
5684,"ALTO DEL OLVIDO",LAVALLE,,5533,,
20315,"ALTO DEL PLOMO","LUJAN DE CUYO",,5549,,
5538,"ALTO DEL SALVADOR","SAN MARTIN",,5570,,
19696,"ALTO GRANDE","LAS HERAS",,5543,,
5594,"ALTO GRANDE",JUNIN,,5572,,
17403,"ALTO TRES COMPADRES",LAVALLE,,5537,,
5595,"ALTO VERDE",JUNIN,,5582,-33.1545276,-68.3559101
5880,"ALTO VERDE","SAN MARTIN",,5582,-33.1195037,-68.4180219
17078,ALVAREZ,"LA PAZ",,5590,,
5734,"ALVAREZ CONDARCO","LUJAN DE CUYO",,5549,,
17079,"ANA DE DONAIRE","LA PAZ",,5590,,
17080,"ANACLETA VIUDA DE PEREZ","LA PAZ",,5590,,
5995,ANCHORIS,TUPUNGATO,,5509,,
5996,ANCON,TUPUNGATO,,5561,-33.3000847,-69.1716957
5839,ANDRADE,RIVADAVIA,RIVADAVIA,5575,-33.1825562,-68.5250854
17081,"ANDRES PEREZ","LA PAZ",,5590,,
17082,"ANTONIO SOSA","LA PAZ",,5590,,
17656,ARAGANITA,"SAN CARLOS",,5569,,
18014,ARANCIBIA,"SANTA ROSA",,5594,,
18015,ARANZABAL,"SANTA ROSA",,5594,,
5997,ARBOLEDA,TUPUNGATO,,5561,,
19697,ARENALES,"LAS HERAS",,5539,,
5884,"ARISTIDES VILLANUEVA","SAN RAFAEL",,5609,-34.2201881,-67.9116364
5685,ARROYITO,LAVALLE,,5537,-32.8101368,-67.2217821
5975,"ARROYO CLARO",TUNUYAN,,5560,,
5976,"ARROYO LOS SAUCES",TUNUYAN,,5563,,
5686,ASUNCION,LAVALLE,,5535,,
5885,"ATUEL SUD","SAN RAFAEL",,5623,,
17943,AZCURRA,"SAN MARTIN",,5582,,
18016,"B DE ARAYA","SANTA ROSA",,5594,,
18017,"B DE QUEBRADO","SANTA ROSA",,5594,,
17083,"B ELENA","LA PAZ",,5590,,
5687,"BAJADA ARAUJO",LAVALLE,,5535,,
17658,"BAJADA DE LA SALADA","SAN CARLOS",,5569,,
17659,"BAJADA DE LOS GAUCHOS","SAN CARLOS",,5569,,
17660,"BAJADA DE LOS PAPAGAYOS","SAN CARLOS",,5569,,
17661,"BAJADA DE YAUCHA","SAN CARLOS",,5569,,
17662,"BAJADA DEL AGUA ESCONDIDA","SAN CARLOS",,5569,,
17663,"BAJADA DEL FUERTE","SAN CARLOS",,5569,,
17086,"BAJADA DEL PERRO","LA PAZ",,5590,,
20542,"BAJADA DEL SAUCE","SAN CARLOS",,5569,,
17463,"BAJO DEL PELUDO",MALARGUE,,5613,,
18019,"BAJO DEL YUYO","SANTA ROSA",,5594,,
17946,"BALDE DE LA JARILLA","SAN MARTIN",,5582,,
17947,"BALDE DE LOS GAUCHOS","SAN MARTIN",,5582,,
5959,"BALDE DE PIEDRA","SANTA ROSA",,5596,-33.0552929,-68.0668924
17956,"BALDE E AQUERA","SAN MARTIN",,5582,,
5886,"BALDE EL SOSNEADO","SAN RAFAEL",,5611,,
17948,"BALDE JOFRE","SAN MARTIN",,5582,,
17950,"BALDE LA PICHANA VIEJA","SAN MARTIN",,5582,,
17951,"BALDE LAS CARPAS","SAN MARTIN",,5582,,
17952,"BALDE LAS CATITAS","SAN MARTIN",,5582,,
18020,"BALDE LAS LAGUNITAS","SANTA ROSA",,5594,,
