id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
9374,"1 DE MAYO",CAINGUAS,,3362,-27.1660849,-55.0291653
27564,"17 DE AGOSTO",GUARANI,,3338,,
27556,"2 DE ABRIL",GUARANI,,3338,,
9367,"2 DE MAYO",CAINGUAS,"2 DE MAYO",3364,-27.0197080,-54.6844610
9506,"22 DE DICIEMBRE",IGUAZU,,3378,,
9308,"25 DE MAYO","25 DE MAYO","25 DE MAYO",3363,-27.3776321,-54.7440910
9560,"3 DE MAYO","LIBERTADOR GRAL SAN MARTIN",,3334,-26.7850126,-54.9011510
17003,"9 DE JULIO","25 DE MAYO",,3363,-27.5482537,-54.7610655
9464,"9 DE JULIO KILOMETRO 20",ELDORADO,"9 DE JULIO",3380,-26.4302810,-54.4664670
9309,ACARAGUA,"25 DE MAYO",,3361,,
27550,"ADOLFO J POMAR",CAINGUAS,,3337,,
9310,"ALBA POSSE","25 DE MAYO","ALBA POSSE",3363,-27.5698490,-54.6817055
20452,"ALTA UNION",GUARANI,,3364,,
9605,"APARICIO CUE","SAN IGNACIO",,3322,-27.3086472,-55.4520645
9334,APOSTOLES,APOSTOLES,APOSTOLES,3350,-27.9151306,-55.7543144
9361,"ARISTOBULO DEL VALLE",CAINGUAS,"ARISTOBULO DEL VALLE",3364,-27.0973663,-54.8940315
9442,ARRECHEA,CONCEPCION,,3355,,
20368,ARROYO,CAPITAL,,3300,,
9508,"ARROYO DEL MEDIO","LEANDRO N ALEM","ARROYO DEL MEDIO",3313,-27.6980030,-55.4064790
9577,"ARROYO FEDOR","SAN JAVIER",,3360,,
9509,"ARROYO ISABEL","LEANDRO N ALEM",,3311,,
9376,"ARROYO MAGDALENA",CANDELARIA,,3317,,
9377,"ARROYO PASTORA",CANDELARIA,,3316,-27.3703327,-55.5353851
9443,"ARROYO PERSIGUERO",CONCEPCION,,3355,,
9444,"ARROYO SANTA MARIA",CONCEPCION,,3353,-27.8896338,-55.4263439
9378,"ARROYO TOMAS",CANDELARIA,,3309,,
9335,"ARROYO TUNITAS",APOSTOLES,,3350,,
9606,"ARROYO YABEBIRI","SAN IGNACIO",,3322,,
20520,"ASERRADERO ECHEVERRIA","SAN PEDRO",,3364,,
20521,"ASERRADERO PIÑALITO","SAN PEDRO",,3364,,
9336,AZARA,APOSTOLES,AZARA,3351,-28.0595875,-55.6765747
9379,"BAÑADO GRANDE",CANDELARIA,,3317,,
20348,"BARRA BONITA","25 DE MAYO",,3357,-27.5989584,-54.8436825
9578,"BARRA BONITA",OBERA,,3360,,
9445,"BARRA CONCEPCION",CONCEPCION,,3355,-28.1109522,-55.5820048
9674,BARRACON,"SAN PEDRO",,3364,,
9477,BARRACON,"GENERAL MANUEL BELGRANO",,3366,,
9607,BARRANCON,"SAN IGNACIO",,3322,,
9562,BARRANCON,MONTECARLO,,3384,,
9311,BARTOLITO,"25 DE MAYO",,3363,,
9579,"BAYO TRONCHO",OBERA,,3360,,
27545,BELGRANO,"LEANDRO N ALEM",,3313,,
9380,"BELLA VISTA",CANDELARIA,"CERRO CORA",3309,-27.5175991,-55.5512161
9362,"BERNARDINO RIVADAVIA",CAINGUAS,,3364,,
