id_localidad,nombre,partido,municipio,cp,latitud,longitud
7711,ACHICO,"COLLON CURA",,8315,,
7930,"AGRIO BALSA",PICUNCHES,"BAJADA DEL AGRIO",8351,,
7673,"AGUADA CHACAY CO","CHOS MALAL",,8353,,
7649,"AGUADA FLORENCIO","CATAN LIL",,8340,-39.4970894,-70.2829819
27850,"AGUADA SAN ROQUE",AÑELO,"AGUADA SAN ROQUE",8305,-37.9994790,-68.9231100
7817,"AGUAS DE LAS MULAS",LONCOPUE,,8349,,
7712,ALIANZA,"COLLON CURA",,8373,,
7713,ALICURA,"COLLON CURA",,8403,,
7614,ALUMINE,ALUMINE,ALUMINE,8345,-39.2353592,-70.9196472
7860,ANDACOLLO,MINAS,ANDACOLLO,8353,-37.1793462,-70.6699696
7642,AÑELO,AÑELO,AÑELO,8305,-38.3531837,-68.7871780
7674,ANQUINCO,"CHOS MALAL",,8353,,
7736,ARROYITO,CONFLUENCIA,SENILLOSA,8313,-39.0743998,-68.5703351
7737,"ARROYITO CHALLACO",CONFLUENCIA,,8313,,
7675,"ARROYO BLANCO","CHOS MALAL","CHOS MALAL",8353,-37.2454751,-70.2314080
7931,"ARROYO CAHUNCO",PICUNCHES,,8347,,
7615,"ARROYO QUILLEN",ALUMINE,,8341,,
20036,"ARROYO RANQUILCO",LONCOPUE,,8347,,
27725,ATREUCO,HUILICHES,,8371,,
7643,"AUCA MAHUIDA",AÑELO,,8305,-37.8880342,-68.5144900
7768,"AUCA PAN",HUILICHES,,8373,,
7714,"BAJADA COLORADA","COLLON CURA",,8315,-39.8471947,-69.7284470
7986,"BAJADA DE LOS MOLLES",ZAPALA,,8340,-39.1717491,-70.2515640
7932,"BAJADA DEL AGRIO",PICUNCHES,"BAJADA DEL AGRIO",8351,-38.4059752,-70.0353755
7650,"BAJADA DEL MARUCHO","CATAN LIL",,8340,,
7933,"BALNEARIO DEL RIO AGRIO",PICUNCHES,"BAJADA DEL AGRIO",8351,,
7934,"BALSA DEL RIO AGRIO",PICUNCHES,,8351,,
7738,"BALSA SENILLOSA",CONFLUENCIA,,8316,,
7987,"BARDA ANGUIL",ZAPALA,,8340,,
7988,"BARDA NEGRA",ZAPALA,,8340,,
7912,BARRANCAS,PEHUENCHES,BARRANCAS,8353,-36.8211724,-69.9162903
7676,"BATRE LAUQUEN","CHOS MALAL",,8353,,
7861,"BELLA VISTA",MINAS,"VILLA DEL NAHUEVE",8353,-37.0569386,-70.7761702
7792,"BUENA ESPERANZA",LACAR,,8360,,
7913,"BUTA CO",PEHUENCHES,,8353,-36.9156036,-69.7827377
7890,"BUTA MALLIN",ÑORQUIN,,8353,,
7914,"BUTA RANQUIL",PEHUENCHES,"BUTA RANQUIL",8353,-37.0517586,-69.8761613
26289,BUTALON,MINAS,HUINGANCO,8353,,
7677,"CAEPE MALAL","CHOS MALAL","VILLA CURI LEUVU",8353,-37.1736653,-70.3958600
7989,CAICHIHUE,"CATAN LIL",,8340,,
7818,"CAJON DE ALMAZA",LONCOPUE,LONCOPUE,8349,-38.1438332,-70.5287340
7891,"CAJON DE LOS PATOS",ÑORQUIN,,8349,,
7819,"CAJON DE MANZANO",LONCOPUE,,8349,,
7935,"CAJON DEL TORO",PICUNCHES,,8347,,
7679,"CAJON GRANDE","CHOS MALAL",,8353,,
7793,CALEUFU,LACAR,,8373,-40.5053291,-71.1702728
7936,CALIHUE,PICUNCHES,,8347,,
7862,CAMALEONES,MINAS,,8353,,
7794,CAMINERA,LACAR,,8370,,
7838,"CAMINERA TRAFUL","LOS LAGOS",,8403,,
7741,"CAMPAMENTO SOL",CONFLUENCIA,,8319,,
7680,"CAÑADA SECA","CHOS MALAL",,8353,,
7651,"CAÑADON DE LOS INDIOS","CATAN LIL",,8375,,
20316,"CAÑADON DEL INDIO","CATAN LIL",,8375,,
7681,"CANCHA HUINGANCO","CHOS MALAL","TRICAO MALAL",8353,-37.0290672,-70.4216083
7715,"CARRAN CURA","COLLON CURA",,8315,,
7937,CARRERI,PICUNCHES,,8347,,
7716,"CARRI LAUQUEN","COLLON CURA",,8315,-36.5069000,-70.1558000
7616,"CARRI LIL",ALUMINE,,8345,-39.1980503,-71.0603283
