id_localidad,nombre,partido,municipio,cp,latitud,longitud
21277,"20 DE FEBRERO","LA VIÑA",,4425,,
11793,ABLOME,"LA VIÑA",,4421,,
27811,"ABRA DE ARAGUYOC",IRUYA,IRUYA,4633,-22.7747986,-65.1433864
16691,"ABRA DEL GALLO","LOS ANDES","TOLAR GRANDE",4411,,
21573,"ABRA GRANDE",ORAN,"SAN RAMON DE LA NUEVA ORAN",4530,-22.9746000,-64.4138400
11669,ACAMBUCO,"GENERAL JOSE DE SAN MARTIN",AGUARAY,4568,-22.1645998,-63.9088426
16692,ACAZOQUE,"LOS ANDES","SAN ANTONIO DE LOS COBRES",4411,-24.2715817,-66.3513718
11832,ACHARAS,METAN,,4434,,
11732,ACOSTA,GUACHIPAS,GUACHIPAS,4425,-25.7724100,-65.3423400
12052,ACOYTE,"SANTA VICTORIA","SANTA VICTORIA OESTE",4651,-22.2625708,-64.9993426
11575,"AGUA NEGRA",CHICOANA,CHICOANA,4415,-25.1533919,-65.6936323
11436,"AGUA SUCIA",ANTA,"APOLINARIO SARAVIA",4449,-24.4657480,-63.8678484
21602,"AGUA VERDE",RIVADAVIA,"SANTA VICTORIA ESTE",4561,-22.4988100,-62.4075900
11670,AGUARAY,"GENERAL JOSE DE SAN MARTIN",AGUARAY,4566,-22.2411480,-63.7332344
21256,"AGUAS BLANCAS",IRUYA,,4530,,
11911,"AGUAS BLANCAS",ORAN,"AGUAS BLANCAS",4531,-22.7245610,-64.3463190
21656,"AGUAS CALIENTES","ROSARIO DE LA FRONTERA",,4190,,
11623,"AGUAS CALIENTES","GENERAL GUEMES",,4430,,
11962,"AGUAS MUERTAS",RIVADAVIA,"RIVADAVIA BANDA SUR",4535,-24.2302375,-62.6811412
21730,"ALEJO DE ALBERRO","ROSARIO DE LERMA",,4407,,
20998,ALEM,"LA CANDELARIA",,4126,,
21731,ALFARCITO,"ROSARIO DE LERMA",,4409,-24.4969769,-65.9018784
11624,ALGARROBAL,"GENERAL GUEMES",,4430,,
11437,ALGARROBAL,ANTA,"EL QUEBRACHAL",4446,-25.4062237,-63.9799166
11912,ALGARROBAL,ORAN,,4534,-23.4255962,-63.6708565
11963,ALGARROBAL,RIVADAVIA,,4535,,
21499,"ALGARROBAL VIEJO",METAN,,4446,,
21657,"ALMIRANTE BROWN","ROSARIO DE LA FRONTERA","ROSARIO DE LA FRONTERA",4193,-25.8966700,-64.7655000
12019,ALMONA,"ROSARIO DE LA FRONTERA",,4421,-25.9582424,-64.5077362
11438,"ALTO ALEGRE",ANTA,"EL QUEBRACHAL",4449,-25.5981369,-63.9091225
11964,"ALTO DE LA SIERRA",RIVADAVIA,"SANTA VICTORIA ESTE",4561,-22.6893773,-62.4527756
11833,"ALTO DEL MISTOL",METAN,"EL GALPON",4446,-25.2626266,-64.1300743
11965,"ALTO VERDE",RIVADAVIA,"RIVADAVIA BANDA NORTE",4535,-23.2834892,-62.4445305
21244,"ALTOS HORNOS GUEMES","GENERAL GUEMES",,4432,,
21553,AMAICHA,MOLINOS,,4419,-25.5445743,-66.3884468
11966,AMBERES,RIVADAVIA,"SANTA VICTORIA ESTE",4561,-22.5203419,-62.5257416
12031,AMBLAYO,"SAN CARLOS","SAN CARLOS",4425,-25.5445500,-65.8205600
11794,AMPASCACHI,"LA VIÑA","LA VIÑA",4421,-25.3554555,-65.5323045
21205,AMPATA,CHICOANA,,4415,,
12032,ANGASTACO,"SAN CARLOS",ANGASTACO,4427,-25.6862144,-66.1682663
11913,"ANGEL PEREDO",ORAN,,4533,,
11914,ANGELICA,ORAN,,4533,,
21828,"ANGOSTO PESCADO","SANTA VICTORIA",,4651,,
21792,ANGOSTURA,"SAN CARLOS",,4415,,
11887,ANGOSTURA,MOLINOS,,4419,,
21800,ANGOSTURA,"GENERAL JOSE DE SAN MARTIN",,4560,,
12033,ANIMANA,"SAN CARLOS",ANIMANA,4427,-25.9659233,-65.9451675
12020,ANTILLA,"ROSARIO DE LA FRONTERA","EL POTRERO",4193,-26.1153069,-64.5956650
20964,"ANTONIO ALICE","LA CALDERA",,4401,,
11671,"ANTONIO QUIJARRO","GENERAL JOSE DE SAN MARTIN",,4552,-22.8259201,-63.8348694
11440,"APOLINARIO SARAVIA",ANTA,"APOLINARIO SARAVIA",4449,-24.4324360,-63.9943466
11915,"ARBOL SOLO",ORAN,,4534,,
21658,ARENAL,"ROSARIO DE LA FRONTERA",,4198,,
11672,ARENAL,"GENERAL JOSE DE SAN MARTIN",,4560,,
11916,ARENALES,ORAN,,4535,,
11442,ARITA,ANTA,,4449,,
21659,ARJUNTAS,"ROSARIO DE LA FRONTERA",,4430,,
11834,"ARROCERO ITALIANO",METAN,,4444,,
11755,ASTILLERO,IRUYA,,4633,,
21049,ATOCHA,CAPITAL,SALTA,4401,-24.8166716,-65.4787180
21206,ATUDILLO,CHICOANA,,4415,,
12053,BACOYA,"SANTA VICTORIA",,4644,-22.5401384,-65.2255211
21660,BAJADA,"ROSARIO DE LA FRONTERA",,4190,,
16718,"BAJADA BLANCA","ROSARIO DE LA FRONTERA",,4193,,
21661,"BAJADA DE GAVI","ROSARIO DE LA FRONTERA",,4198,-25.7187176,-64.8461533
21662,"BAJADA GRANDE","ROSARIO DE LA FRONTERA",,4198,-25.6652813,-64.7497787
11835,"BAJO GRANDE",METAN,,4446,-25.3396988,-64.4623261
21502,"BAJO GRANDE DESVIO FCGB",METAN,,4444,,
21663,BALBOA,"ROSARIO DE LA FRONTERA","ROSARIO DE LA FRONTERA",4193,-25.8671779,-64.8199031
21603,BALBUENA,RIVADAVIA,"RIVADAVIA BANDA NORTE",4561,-22.7938766,-63.0502205
11836,BALDERRAMA,METAN,,4440,,
21732,BALLENAL,"ROSARIO DE LERMA",,4405,,
11888,"BANDA GRANDE",MOLINOS,,4419,-25.4397907,-66.2229080
21664,"BAÑOS TERMALES","ROSARIO DE LA FRONTERA",,4190,,
21001,BARADERO,"LA CANDELARIA",,4126,,
16742,BARBAYASCO,"ROSARIO DE LA FRONTERA",,4190,,
12054,BARITU,"SANTA VICTORIA",,4651,-22.4988398,-64.7675650
11443,BARREALITO,ANTA,,4449,,
12034,BARRIAL,"SAN CARLOS",ANIMANA,4427,,
21811,"BARRIO LA LOMA","GENERAL JOSE DE SAN MARTIN",,4400,,
26299,"BARRIO PARABOLICA",CACHI,,4417,,
21824,"BARRIO SAN ANTONIO","GENERAL JOSE DE SAN MARTIN",,4560,,
21801,"BARRIO SAN CAYETANO","GENERAL JOSE DE SAN MARTIN",,4400,,
11782,"BARRO NEGRO","LA POMA",,4415,,
21052,BELGRANO,CAPITAL,,4400,,
11967,"BELGRANO FORTIN 2",RIVADAVIA,,4535,,
21665,"BELLA VISTA","ROSARIO DE LA FRONTERA",,4193,-25.7877121,-64.4353867
11795,"BELLA VISTA","LA VIÑA",,4421,,
11576,"BELLA VISTA",CHICOANA,CHICOANA,4423,-25.0559382,-65.5726400
11968,"BELLA VISTA",RIVADAVIA,"RIVADAVIA BANDA NORTE",4535,-22.9583073,-63.1055641
11625,BETANIA,"GENERAL GUEMES","CAMPO SANTO",4432,-24.6919400,-65.1371400
11734,BODEGUITA,GUACHIPAS,,4425,,
11889,BREALITO,MOLINOS,,4419,-25.2935410,-66.3473358
11673,"BUEN LUGAR","GENERAL JOSE DE SAN MARTIN",,4550,,
21604,"BUENA FE",RIVADAVIA,,4561,,
21055,"BUENA VISTA",CAPITAL,,4400,,
20903,"BUENA VISTA",CACHI,,4415,-25.0204892,-66.0970212
12035,"BUENA VISTA","SAN CARLOS",,4427,,
11890,"BURRO YACO",MOLINOS,,4419,,
16719,"CABEZA DE ANTA","ROSARIO DE LA FRONTERA",,4193,,
11439,"CABEZA DE ANTA",ANTA,"LAS LAJITAS",4434,-24.9099827,-64.4524994
11626,"CABEZA DE BUEY","GENERAL GUEMES","CAMPO SANTO",4434,-24.7930300,-65.0302400
11546,CACHI,CACHI,CACHI,4417,-25.1204510,-66.1657867
20904,"CACHI ADENTRO",CACHI,,4417,-25.0955284,-66.1997934
12026,CACHIÑAL,"ROSARIO DE LERMA",,4409,,
11577,"CACHO MOLINO",CHICOANA,,4421,,
11557,CAFAYATE,CAFAYATE,CAFAYATE,4427,-26.0677185,-65.9824905
11828,CAIPE,"LOS ANDES",,4413,-24.6853542,-67.9891739
20966,CALDERA,"LA CALDERA","LA CALDERA",4401,-24.6049490,-65.3823380
20967,CALDERILLA,"LA CALDERA",,4401,,
