id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
15719,"9 DE JULIO","9 DE JULIO","9 DE JULIO",5417,-31.6697509,-68.3900416
18854,ACERILLOS,IGLESIA,,5467,,
15833,"ADAN QUIROGA",JACHAL,,5409,,
18726,"AEROPUERTO SAN JUAN","9 DE JULIO",,5417,,
19400,"AGUA CERCADA","VALLE FERTIL",,5447,-30.8041577,-67.3662350
18855,"AGUA DE LA ZANJA",IGLESIA,,5467,,
19040,"AGUA DE LA ZORRA",JACHAL,,5460,-30.5742626,-68.6229935
15834,"AGUA DE LOS CABALLOS",JACHAL,,5460,,
15992,"AGUA ESCONDIDA","VALLE FERTIL",,5447,,
18743,"AGUA Y ENERGIA",CALINGASTA,,5405,,
15835,"AGUADA DE LA PEÑA",JACHAL,,5461,,
20169,AGUADITAS,JACHAL,,5461,,
15837,"AGUADITAS DEL RIO JACHAL",JACHAL,,5461,,
15993,AGUANGO,"VALLE FERTIL",,5449,,
15838,"AGUAS DEL PAJARO",JACHAL,,5461,,
15907,ALBARRACIN,RAWSON,,5425,,
15839,ALCAUCHA,JACHAL,,5461,,
19043,"ALGARROBO DEL CURA",JACHAL,,5460,,
15965,"ALGARROBO GRANDE",SARMIENTO,,5435,,
15703,"ALGARROBO VERDE","25 DE MAYO",,5443,,
15953,"ALTO DE SIERRA","SANTA LUCIA","SANTA LUCIA",5438,-31.5403423,-68.4424667
15840,"ALTO HUACO",JACHAL,,5463,,
18715,AMARFIL,"25 DE MAYO",,5443,,
15767,"AMBAS PUNTILLAS",CAUCETE,,5442,,
15768,AMPACAMA,CAUCETE,,5444,-31.2476921,-67.7616730
15738,"ANGACO NORTE",ANGACO,,5415,,
19975,"ANGACO SUD","SAN MARTIN","SAN MARTIN",5417,,
16036,ANGUALASTO,IGLESIA,IGLESIA,5467,-30.0549774,-69.1878815
19310,"APEADERO GUANACACHE",SARMIENTO,,5431,,
18848,"APEADERO LAS CHIMBAS",CHIMBAS,,5413,,
19238,"APEADERO QUIROGA",POCITO,,5427,,
18856,ARREQUINTIN,IGLESIA,,5467,,
19047,ASCHICHUSCA,JACHAL,,5460,,
16339,ASTICA,"VALLE FERTIL","VALLE FERTIL",5447,-30.9446354,-67.3033142
19362,AURORA,ULLUM,,5409,,
15966,"AZUCARERA DE CUYO",SARMIENTO,,5435,,
15769,"BALDE DE LEYES",CAUCETE,,5446,-31.5832710,-67.1778412
18836,"BALDE DEL LUCERO",CAUCETE,,5446,,
15994,"BALDE DEL NORTE","VALLE FERTIL",,5449,,
15995,"BALDE DEL ROSARIO","VALLE FERTIL",,5449,-30.3207152,-67.6951969
19406,"BALDE PLUMERITO","VALLE FERTIL",,5447,,
19408,"BALDE SAN CARLOS","VALLE FERTIL",,5447,,
15996,BALDECITO,"VALLE FERTIL",,5449,,
15997,"BALDECITO DEL MORADO","VALLE FERTIL",,5449,,
