id_localidad,nombre,partido,municipio,cp,latitud,longitud
15063,"11 DE MAYO","CORONEL PRINGLES",,5701,,
21438,"13 DE ENERO","GENERAL PEDERNERA",,5741,,
21386,"20 DE FEBRERO","GENERAL PEDERNERA",,5730,,
21367,"30 DE OCTUBRE","GOBERNADOR DUPUY",,5637,,
14812,"6 DE SEPTIEMBRE",AYACUCHO,,5703,,
21571,"9 DE JULIO","LIBERTADOR GENERAL SAN MARTIN",,5701,-32.7714310,-65.7669449
21387,"9 DE JULIO","GENERAL PEDERNERA",,5831,,
21450,ACASAPE,"JUAN MARTIN DE PUEYRREDON",,5722,,
15328,"ADOLFO RODRIGUEZ SAA",JUNIN,,5777,,
14820,"AGUA AMARGA",BELGRANO,,5719,,
21432,"AGUA DEL PORTEZUELO","GENERAL PEDERNERA",,5730,,
15233,"AGUA FRIA","GENERAL PEDERNERA",,5831,,
14661,"AGUA HEDIONDA",AYACUCHO,,5705,,
15504,"AGUA LINDA","LIBERTADOR GENERAL SAN MARTIN",,5753,,
14986,"AGUA SALADA","CORONEL PRINGLES",,5751,,
15405,"AGUA SEBALLE","JUAN MARTIN DE PUEYRREDON",,5721,,
21389,AGUADA,"GENERAL PEDERNERA",,5831,,
14662,AGUADITA,AYACUCHO,,5719,,
21285,AGUADITAS,AYACUCHO,,5707,,
15406,"AGUAS DE PIEDRAS","JUAN MARTIN DE PUEYRREDON",,5721,,
21314,"AHI VEREMOS",BELGRANO,,5703,,
15505,ALANICES,"LIBERTADOR GENERAL SAN MARTIN",,5771,,
14821,ALAZANAS,BELGRANO,,5719,,
15093,ALEGRIA,"GOBERNADOR DUPUY",,6389,,
15234,ALFALAND,"GENERAL PEDERNERA",,5731,,
14663,ALGARROBAL,AYACUCHO,,5707,,
15407,ALGARROBITOS,"JUAN MARTIN DE PUEYRREDON",,5701,,
14822,"ALGARROBOS GRANDES",BELGRANO,,5719,,
14823,"ALTA GRACIA",BELGRANO,,5703,,
14824,ALTILLO,BELGRANO,,5719,,
14825,ALTO,BELGRANO,,5703,,
21451,"ALTO BLANCO","JUAN MARTIN DE PUEYRREDON",,5700,,
21505,"ALTO DE LA LEÑA","CORONEL PRINGLES",,5750,,
21452,"ALTO DEL LEON","JUAN MARTIN DE PUEYRREDON",,5722,,
15506,"ALTO DEL MOLLE","LIBERTADOR GENERAL SAN MARTIN",,5755,,
21453,"ALTO DEL VALLE","JUAN MARTIN DE PUEYRREDON",,5721,,
15507,"ALTO DEL VALLE","LIBERTADOR GENERAL SAN MARTIN",,5755,,
15408,"ALTO GRANDE","JUAN MARTIN DE PUEYRREDON",,5700,,
21507,"ALTO GRANDE","CORONEL PRINGLES",,5722,,
14904,"ALTO LINDO",CHACABUCO,,5883,,
21326,"ALTO NEGRO",BELGRANO,,5719,,
15409,"ALTO PELADO","JUAN MARTIN DE PUEYRREDON","ALTO PELADO",5721,-33.8425030,-66.1375990
15410,"ALTO PENCOSO","JUAN MARTIN DE PUEYRREDON","ALTO PENCOSO",5724,-33.4306360,-66.9279670
15235,"ALTO VERDE","GENERAL PEDERNERA",,5741,,
15508,ANCAMILLA,"LIBERTADOR GENERAL SAN MARTIN",,5753,,
28064,ANCHORENA,"GOBERNADOR DUPUY",ANCHORENA,6389,-35.6749700,-65.4250950
15329,ANGELITA,JUNIN,,5711,,
14987,ANTIHUASI,"CORONEL PRINGLES",,5701,,
14826,"ARBOL SOLO",BELGRANO,,5703,-32.5221338,-66.4859502
14664,"ARBOL VERDE",AYACUCHO,,5715,,
21508,ARBOLEDA,"CORONEL PRINGLES",,5750,,
15509,"ARBOLES BLANCOS","LIBERTADOR GENERAL SAN MARTIN",,5771,,
14988,ARENILLA,"CORONEL PRINGLES",,5701,,
15095,ARIZONA,"GOBERNADOR DUPUY",ARIZONA,6389,-35.7235641,-65.3214035
15510,"ARROYO DE VILCHES","LIBERTADOR GENERAL SAN MARTIN",,5771,,
15511,"ARROYO LA CAL","LIBERTADOR GENERAL SAN MARTIN",,5753,,
15236,AVANZADA,"GENERAL PEDERNERA",,5738,,
15237,"AVIADOR ORIGONE","GENERAL PEDERNERA",,5741,,
15096,BAGUAL,"GOBERNADOR DUPUY",BAGUAL,6216,-35.1427705,-65.5688525
14665,BAJADA,AYACUCHO,,5711,,
15097,"BAJADA NUEVA","GOBERNADOR DUPUY",,6216,,
15512,"BAJO DE CONLARA","LIBERTADOR GENERAL SAN MARTIN",,5753,,
14827,"BAJO DE LA CRUZ",BELGRANO,,5719,,
21330,"BAJO GRANDE",CHACABUCO,,5775,,
15513,"BAJO LA LAGUNA","LIBERTADOR GENERAL SAN MARTIN",,5753,,
21390,"BAJOS HONDOS","GENERAL PEDERNERA",,5741,,
14905,BALCARCE,CHACABUCO,,5883,-32.5633976,-65.0315307
21454,BALDA,"JUAN MARTIN DE PUEYRREDON",,5722,,
15411,BALDE,"JUAN MARTIN DE PUEYRREDON",BALDE,5724,-33.3416023,-66.6272583
15330,BALDE,JUNIN,,5883,,
14666,"BALDE AHUMADA",AYACUCHO,,5713,,
21315,"BALDE DE AMIRA",BELGRANO,,5703,,
14667,"BALDE DE ARRIBA",AYACUCHO,,5707,,
14668,"BALDE DE AZCURRA",AYACUCHO,,5707,-32.1365131,-66.8544539
21286,"BALDE DE ESCUDERO",JUNIN,,5715,-32.0921265,-65.5664913
14669,"BALDE DE GARCIA",AYACUCHO,,5715,,
14670,"BALDE DE GUARDIA",AYACUCHO,,5713,,
15331,"BALDE DE GUIÑAZU",JUNIN,,5715,,
14989,"BALDE DE LA ISLA","CORONEL PRINGLES",,5701,-33.1207485,-65.9668439
21287,"BALDE DE LA LINEA",AYACUCHO,,5713,,
