id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
2104,"22 DE MAYO",ROSARIO,,2124,,
1890,"4 DE FEBRERO","GENERAL LOPEZ",,2732,-33.8079033,-61.5825348
1875,"AARON CASTELLANOS","GENERAL LOPEZ","AARON CASTELLANOS",6106,-34.3345320,-62.3748010
2140,ABIPONES,"SAN JUSTO",,3042,,
2054,ACEBAL,ROSARIO,ACEBAL,2109,-33.2423096,-60.8354836
17762,"ACHAVAL RODRIGUEZ","SAN CRISTOBAL",,2344,-29.8874992,-61.5718277
1201,"ADOLFO ALSINA",CASTELLANOS,,2311,,
2055,"AERO CLUB ROSARIO",ROSARIO,,2132,,
1366,"AGUARA GRANDE","SAN CRISTOBAL","AGUARA GRANDE",3071,-30.1093091,-60.9437539
2056,ALBARELLOS,ROSARIO,ALBARELLOS,2101,-33.2392464,-60.6370697
1355,ALCORTA,CONSTITUCION,ALCORTA,2117,-33.5432358,-61.1196861
2187,ALDAO,"SAN LORENZO",ALDAO,2214,-32.7022858,-60.8146935
2115,ALEJANDRA,"SAN JAVIER",ALEJANDRA,3051,-29.9084223,-59.8284185
18412,ALLENDE,VERA,,3550,,
1508,"ALTO VERDE","LA CAPITAL",,3001,,
2057,ALVAREZ,ROSARIO,ALVAREZ,2107,-33.1314697,-60.8035774
2058,ALVEAR,ROSARIO,ALVEAR,2126,-33.0582848,-60.6179237
1367,AMBROSETTI,"SAN CRISTOBAL",AMBROSETTI,2352,-30.0133476,-61.5758896
1876,AMENABAR,"GENERAL LOPEZ",AMENABAR,6103,-34.1317215,-62.4235420
1438,ANDINO,IRIONDO,"PUEBLO ANDINO",2214,-32.6717914,-60.8761807
1509,"ANGEL GALLARDO","LA CAPITAL","MONTE VERA",3014,-31.5551885,-60.6783108
1202,ANGELICA,CASTELLANOS,ANGELICA,2303,-31.5497265,-61.5462151
2146,ANGELONI,"SAN JUSTO",ANGELONI,3048,-30.8575180,-60.6486100
