id_localidad,nombre,partido,municipio,cp,latitud,longitud
21968,"25 DE MAYO",CHOYA,,4231,-28.5995750,-64.6650162
26842,"25 DE MAYO",MORENO,,4353,-27.4138584,-63.0654678
26878,"25 DE MAYO DE BARNEGAS",CHOYA,,4205,,
14305,"25 DE MAYO SUD",CHOYA,,4231,,
27488,"3 DE MARZO","GENERAL TABOADA",,3766,,
27266,"7 DE ABRIL",PELLEGRINI,,4197,-26.2831879,-64.4568405
14383,"9 DE JULIO",GUASAYAN,,4238,,
26127,"9 DE JULIO","OJO DE AGUA",,5255,-29.6555800,-63.4736100
14527,"ABRA DE LA CRUZ","RIO HONDO",,4225,,
14384,"ABRA DE QUIMIL",GUASAYAN,,4238,,
14227,"ABRA GRANDE",BANDA,"ABRA GRANDE",4336,-27.2931340,-64.3790660
14528,"ABRAS DEL MARTIRIZADO","RIO HONDO",,4225,,
26739,"ABRAS DEL MEDIO",CHOYA,,4233,,
27417,ABRITA,SILIPICA,,4206,,
26421,"ABRITA CHICA",ATAMISQUI,,4201,,
26426,"ABRITA GRANDE",ATAMISQUI,,4201,,
27522,ACOS,"RIO HONDO","ACOS POZO DEL ARBOLITO",4176,-27.6831400,-64.9792400
14593,ACOSTA,BANDA,,4302,-27.5954881,-64.4111701
26844,AEROLITO,MORENO,,3741,-27.2364425,-62.3796577
27060,"AGUA AMARGA",PELLEGRINI,,4197,-25.8930136,-64.3177220
27062,"AGUA AZUL",PELLEGRINI,,4189,-26.5171900,-64.1532900
26356,"AGUA BLANCA",ALBERDI,,3749,,
22150,"AGUA BLANCA","OJO DE AGUA",,5250,-29.5911560,-63.6652832
26065,"AGUA CALIENTE","OJO DE AGUA",,5251,,
25838,"AGUA DULCE","GENERAL TABOADA",,3766,,
26258,"AGUA SALADA",MORENO,,3736,,
27331,"AGUA TURBIA",QUEBRACHOS,,5251,,
14529,AGUADA,"RIO HONDO",,4220,,
26067,AGUADITA,"OJO DE AGUA",,5251,,
14594,"AGUAS COLORADAS",ROBLES,,4301,,
14385,AGUJEREADO,GUASAYAN,,4238,,
26357,"AGUSTINA LIBARONA",ALBERDI,,3741,-26.7894669,-62.7051659
27066,"AHI VEREMOS",PELLEGRINI,"AHI VEREMOS",4197,-25.8549200,-63.9124700
14386,"AHI VEREMOS",GUASAYAN,,4238,,
21159,"AHI VEREMOS",BANDA,,4300,-27.3877678,-64.1323166
27695,"AHI VEREMOS",COPO,"AHI VEREMOS",4452,-25.7294878,-63.4660140
26068,"AHI VEREMOS","OJO DE AGUA",,5251,,
26188,AIBAL,MORENO,,3740,,
